brandId,brandName
1,20TH CENTURY FOX
2,404 EDITIONS
3,ACTIVILONG
4,AFRICAN PRIDE
5,AKILEÏNE
6,ALBIN MICHEL
7,ALISIO
8,AMPHORA
9,ANDIS
10,ANJU
11,ANKA
12,ANNE-MARIE MÉTAILIÉ
13,APICOOVE
14,ARCADÈS
15,ARCHIPEL
16,ARTE ÉDITIONS
17,ATYPIK VIDÉO
18,AUNT JACKIE'S
19,AVANTI SILICON MIX
20,AVLON
21,BANDAI
22,BASKERVILLE
23,BAYARD CULTURE
24,BAYARD JEUNESSE
25,BAYARD JEUX
26,BD KIDS
27,BEAPHAR
28,BEEZTEES
29,BELIN EDUCATION
30,BESTWAY
31,BIC
32,BOBBI BROWN
33,BOBBY
34,BOSCH
35,BUNCHEMS
36,CADUM
37,CALGON
38,CALMANN-LEVY
39,CANTU
40,CASTELMORE
41,CHADOG
42,CHARLES MASSIN
43,CHARLESTON
44,CHERCHE MIDI
45,CHIFLET
46,CITEL VIDÉO
47,CLAESSENS' KID
48,CNRS
49,COACHIES
50,COMPANY OF ANIMALS
51,CONDOR ENTERTAINMENT
52,CONTRE DIRES
53,COURRIER LIVRE
54,CRAZY COLOR
55,CRÉAPASSIONS.COM
56,DABUR
57,DANGLES
58,DARK & LOVELY
59,DE BOREE
60,DE LA MARTINIÈRE JEUNESSE
61,DECOLOR STOP
62,DELACHAUX
63,DENOEL
64,DERVY
65,DEUX OCEANS
66,DIANE SELLIERS
67,DIATEINO
68,DISCOVERY CHANNEL
69,DISNEY
70,DISNEY HACHETTE
71,DOG COPENHAGEN
72,DOOGY
73,DOP
74,DOVE
75,DRAGON D'OR
76,DUPUIS
77,DUREX
78,DVDY FILMS
79,E/P/A
80,EBI
81,ECO STYLE
82,EDITIONS MILAN
83,EDITIONS MONTPARNASSE
84,EDITIONS PRISMA
85,EDL
86,EDV
87,ENESCO
88,ENTRELACS
89,ERNST RICHTER'S
90,EUROPA
91,EXERGUE
92,EZYDOG
93,FAYARD
94,FEMME ACTUELLE
95,FIRST
96,FIRST INTERACTIVE
97,FLAMINGO
98,FLEXI
99,FOX
100,FOX PATHE EUROPA
101,FRANCETÉLÉVISIONS DISTRIBUTION
102,FRANCK PROVOST
103,GARNIER
104,GENÈSE ÉDITIONS
105,GÉO
106,GIE SPHE-TF1
107,GOLIATH
108,GOT2B
109,GRASSET
110,GRIZZLY
111,GRUND
112,GRUND JEUNESSE
113,GUY TREDANIEL
114,HALTI
115,HEREDIUM
116,HOLLYWOOD PICTURES
117,HORS COLLECTION
118,HT26
119,HUGO DOCUMENT
120,HUGO ROMAN
121,IDEALDOG
122,IMPREVU ADULTE
123,INTEX
124,J'AI LU
125,JAMAICAN MANGO
126,JC LATTÈS
127,JE M'ÉVEILLE AVEC
128,JOHNSON & JOHNSON
129,JOSETTE LYON
130,JOUSTRA
131,KERASTASE
132,KHARA
133,KING
134,KLIHD
135,KONG
136,KUZA
137,L.C.J. EDITIONS
138,L'OBSERVATOIRE
139,L'ORÉAL PARIS
140,LA MARTINIÈRE
141,LA REINE DES NEIGES
142,LABELLO
143,LADYBEL
144,LE
145,LE PETIT MARSEILLAIS
146,LE PHARE DU CAP BON
147,LE ROBERT
148,LE SEUIL
149,LEADOFF
150,LEDUC.S ÉDITIONS
151,LES ESCALES ÉDITIONS
152,LEXIBOOK
153,LILLIPUTIENS
154,LOTTABODY
155,LOUVERTURE
156,LOVEBOX
157,LUSTER'S
158,M6 VIDEO
159,MAGIC
160,MAGIC SHAVE
161,MAGNARD
162,MAGNO
163,MAKARI
164,MAKO MOULAGES
165,MARABOUT
166,MARIE-CLAIRE
167,MARROW BONE
168,MARTINI
169,MARTINIERE BL
170,MATTEL GAMES
171,MEDICIS
172,MICHEL LAFON
173,MISS ANTILLES INTERNATIONAL
174,MIXA
175,MIZANI
176,MK2
177,MORFOSE
178,MY LITTLE PONY
179,NATIONAL GEOGRAPHIC
180,NEUTROGENA
181,NIVEA SUN
182,NOBBY
183,NYLABONE
184,OPTIMUM
185,ORB FACTORY
186,ORS
187,OSTER
188,PALMER'S
189,PAPERMATE
190,PARAMOUNT PICTURES
191,PARIS FAIR & WHITE SO WHITE!
192,PARROT
193,PATHE
194,PETSAFE
195,PHILIPS LIGHTING
196,PHOENIX
197,PLUME DE CAROTTE
198,PR. FRANCOISE BEDON
199,PRITT
200,QILINN
201,QUAKER
202,QUERCETTI
203,RASTA
204,RAVENSBURGER
205,RED DINGO
206,RED ONE
207,RELIE
208,ROBERT LAFFONT
209,ROYAL CANIN
210,SANITERPEN
211,SEUIL JEUNESSE
212,SEVEN SEPT
213,SHEA MOISTURE
214,SHINNING COLORS
215,SHOW TECH
216,SOFN' FREE N' PRETTY
217,SOFT & SHEEN CARSON
218,SOLAR
219,SONY
220,STAR WARS
221,SUBLIME SUN
222,SUPER HERO MASHERS
223,TAHITI
224,TALIAH
225,TALLANDIER
226,TANA
227,TEFAL
228,TF1 VIDÉO
229,TILDA
230,TIPP-EX
231,TOBOT
232,TOGA
233,TOMY
234,TOURBILLON
235,TOUTOU CLABOUSSE
236,TRITANIUM
237,TRIVAL PURSUIT
238,TRIXIE
239,TROPICAL NATURALS
240,UHU
241,ULMER
242,VEGA
243,VERSELE-LAGA
244,VIDEODIS
245,VIRGIN
246,VITACOAT
247,VOLTMAN
248,VUIBERT
249,WAHL
250,WARNER HOME VIDEO
251,WILD SIDE VIDEO
252,XANLITE
253,YARI
254,ZENIMAX ZENIMAX
255,ZULMA
256,AEGIS PHARMA
257,AQUAROMAT
258,CALIPAGE
259,CAT IT
260,CLAIREFONTAINE
261,CURVER
262,ENZYPIN
263,FULLLIGHTTECH
