catalogId,supplierEan,supplierId,brandId,supplierPartNumber,unitPackSize,productPriceExc,productVatRate,catalogEntryLastUpdate
,4007221036616,33,297,106,1,14.80,0.2,2023-10-13
,4007221036630,33,297,107,1,15.60,0.2,2023-10-13
,3661103000716,33,298,1186,1,39.90,0.2,2023-10-13
,3461922010145,33,27,11889,1,6.50,0.2,2023-10-13
,8711231137282,33,27,12019,1,3.90,0.2,2023-10-13
,4007221035947,33,299,13133,1,27.90,0.2,2023-10-13
,4007221035961,33,297,13134,1,34.90,0.2,2023-10-13
,4007221035954,33,299,13135,1,28.90,0.2,2023-10-13
,8711231154906,33,27,15490,1,6.60,0.2,2023-10-13
,8711231154913,33,27,15491,1,7.40,0.2,2023-10-13
,8711231154920,33,27,15492,1,8.60,0.2,2023-10-13
,8711231154937,33,27,15493,1,9.90,0.2,2023-10-13
,8711231154944,33,27,15494,1,11.90,0.2,2023-10-13
,8711231161287,33,27,16128,1,9.40,0.2,2023-10-13
,8711231172078,33,27,17207,1,10.90,0.2,2023-10-13
,8711231172108,33,27,17210,1,12.20,0.2,2023-10-13
,8711231115433,33,27,19691,1,5.90,0.2,2023-10-13
,4007221016700,33,238,4027,1,28.90,0.2,2023-10-13
,4007221016847,33,297,4028,1,20.80,0.2,2023-10-13
,4007221016830,33,71,4029,1,18.80,0.2,2023-10-13
,4007221020998,33,297,9958,1,36.90,0.2,2023-10-13
,4007221021001,33,297,9959,1,30.90,0.2,2023-10-13
,4007221021018,33,297,9960,1,25.90,0.2,2023-10-13
,4007221021025,33,297,9961,1,23.90,0.2,2023-10-13
,3700380368291,33,302,A0013,1,159.00,0.2,2023-10-13
,3700380337808,33,303,A0015,1,174.00,0.2,2023-10-13
,3700380316292,33,304,A0018,1,799.00,0.2,2023-10-13
,3700380368307,33,302,A0031,1,1690.00,0.2,2023-10-13
,3700380368314,33,302,A0033,1,1650.00,0.2,2023-10-13
,3700380364804,33,631,A0035,1,1790.00,0.2,2023-10-13
,3700380360875,33,305,A0047,1,19.90,0.2,2023-10-13
,8008236167940,33,306,A0048,1,36.00,0.2,2023-10-13
,3700380369762,33,631,A0057,1,1390.00,0.2,2023-10-13
,3700380312966,33,631,A0078,1,119.00,0.2,2023-10-13
,5420031905054,33,215,A0081,1,14.90,0.2,2023-10-13
,4011905062501,33,238,A0087,1,44.00,0.2,2023-10-13
,3700380313703,33,121,A0089,1,38.00,0.2,2023-10-13
,3700380372939,33,631,A0098,1,5.40,0.2,2023-10-13
,3700380321357,33,196,A0102,1,78.00,0.2,2023-10-13
