productCategoryRankId,countryCode,productCategoryId,rankingThreshold,rankingThresholdPercentage
1,FR,1,3950879,1.00000
2,FR,1,1975440,0.50000
3,FR,1,1580352,0.40000
4,FR,1,1185264,0.30000
5,FR,1,790176,0.20000
6,FR,1,592632,0.15000
7,FR,1,395088,0.10000
8,FR,1,197544,0.05000
9,FR,1,158035,0.04000
10,FR,1,118526,0.03000
11,FR,1,79018,0.02000
12,FR,1,59263,0.01500
13,FR,1,39509,0.01000
14,FR,1,19754,0.00500
15,FR,1,3951,0.00100
16,FR,1,1975,0.00050
17,FR,1,395,0.00010
18,FR,1,0,0.00000
19,FR,2,4231288,1.00000
20,FR,2,2115644,0.50000
21,FR,2,1692515,0.40000
22,FR,2,1269386,0.30000
23,FR,2,846258,0.20000
24,FR,2,634693,0.15000
25,FR,2,423129,0.10000
26,FR,2,211564,0.05000
27,FR,2,169252,0.04000
28,FR,2,126939,0.03000
29,FR,2,84626,0.02000
30,FR,2,63469,0.01500
31,FR,2,42313,0.01000
32,FR,2,21156,0.00500
33,FR,2,4231,0.00100
34,FR,2,2116,0.00050
35,FR,2,423,0.00010
36,FR,2,0,0.00000
37,FR,3,2546187,1.00000
38,FR,3,1273094,0.50000
39,FR,3,1018475,0.40000
40,FR,3,763856,0.30000
41,FR,3,509237,0.20000
42,FR,3,381928,0.15000
43,FR,3,254619,0.10000
44,FR,3,127309,0.05000
45,FR,3,101847,0.04000
46,FR,3,76386,0.03000
47,FR,3,50924,0.02000
48,FR,3,38193,0.01500
49,FR,3,25462,0.01000
50,FR,3,12731,0.00500
51,FR,3,2546,0.00100
52,FR,3,1273,0.00050
53,FR,3,255,0.00010
54,FR,3,0,0.00000
55,FR,4,3979328,1.00000
56,FR,4,1989664,0.50000
57,FR,4,1591731,0.40000
58,FR,4,1193798,0.30000
59,FR,4,795866,0.20000
60,FR,4,596899,0.15000
61,FR,4,397933,0.10000
62,FR,4,198966,0.05000
63,FR,4,159173,0.04000
64,FR,4,119380,0.03000
65,FR,4,79587,0.02000
66,FR,4,59690,0.01500
67,FR,4,39793,0.01000
68,FR,4,19897,0.00500
69,FR,4,3979,0.00100
70,FR,4,1990,0.00050
71,FR,4,398,0.00010
72,FR,4,0,0.00000
73,FR,5,3939856,1.00000
74,FR,5,1969928,0.50000
75,FR,5,1575942,0.40000
76,FR,5,1181957,0.30000
77,FR,5,787971,0.20000
78,FR,5,590978,0.15000
79,FR,5,393986,0.10000
80,FR,5,196993,0.05000
81,FR,5,157594,0.04000
82,FR,5,118196,0.03000
83,FR,5,78797,0.02000
84,FR,5,59098,0.01500
85,FR,5,39399,0.01000
86,FR,5,19699,0.00500
87,FR,5,3940,0.00100
88,FR,5,1970,0.00050
89,FR,5,394,0.00010
90,FR,5,0,0.00000
91,FR,6,2466479,1.00000
92,FR,6,1233240,0.50000
93,FR,6,986592,0.40000
94,FR,6,739944,0.30000
95,FR,6,493296,0.20000
96,FR,6,369972,0.15000
97,FR,6,246648,0.10000
98,FR,6,123324,0.05000
99,FR,6,98659,0.04000
100,FR,6,73994,0.03000
101,FR,6,49330,0.02000
102,FR,6,36997,0.01500
103,FR,6,24665,0.01000
104,FR,6,12332,0.00500
105,FR,6,2466,0.00100
106,FR,6,1233,0.00050
107,FR,6,247,0.00010
108,FR,6,0,0.00000
109,FR,7,2468397,1.00000
110,FR,7,1234199,0.50000
111,FR,7,987359,0.40000
112,FR,7,740519,0.30000
113,FR,7,493679,0.20000
114,FR,7,370260,0.15000
115,FR,7,246840,0.10000
116,FR,7,123420,0.05000
117,FR,7,98736,0.04000
118,FR,7,74052,0.03000
119,FR,7,49368,0.02000
120,FR,7,37026,0.01500
121,FR,7,24684,0.01000
122,FR,7,12342,0.00500
123,FR,7,2468,0.00100
124,FR,7,1234,0.00050
125,FR,7,247,0.00010
126,FR,7,0,0.00000
127,FR,8,4247586,1.00000
128,FR,8,2123793,0.50000
129,FR,8,1699034,0.40000
130,FR,8,1274276,0.30000
131,FR,8,849517,0.20000
132,FR,8,637138,0.15000
133,FR,8,424759,0.10000
134,FR,8,212379,0.05000
135,FR,8,169903,0.04000
136,FR,8,127428,0.03000
137,FR,8,84952,0.02000
138,FR,8,63714,0.01500
139,FR,8,42476,0.01000
140,FR,8,21238,0.00500
141,FR,8,4248,0.00100
142,FR,8,2124,0.00050
143,FR,8,425,0.00010
144,FR,8,0,0.00000
145,FR,9,4259326,1.00000
146,FR,9,2129663,0.50000
147,FR,9,1703730,0.40000
148,FR,9,1277798,0.30000
149,FR,9,851865,0.20000
150,FR,9,638899,0.15000
151,FR,9,425933,0.10000
152,FR,9,212966,0.05000
153,FR,9,170373,0.04000
154,FR,9,127780,0.03000
155,FR,9,85187,0.02000
156,FR,9,63890,0.01500
157,FR,9,42593,0.01000
158,FR,9,21297,0.00500
159,FR,9,4259,0.00100
160,FR,9,2130,0.00050
161,FR,9,426,0.00010
162,FR,9,0,0.00000
163,FR,10,4194637,1.00000
164,FR,10,2097319,0.50000
165,FR,10,1677855,0.40000
166,FR,10,1258391,0.30000
167,FR,10,838927,0.20000
168,FR,10,629196,0.15000
169,FR,10,419464,0.10000
170,FR,10,209732,0.05000
171,FR,10,167785,0.04000
172,FR,10,125839,0.03000
173,FR,10,83893,0.02000
174,FR,10,62920,0.01500
175,FR,10,41946,0.01000
176,FR,10,20973,0.00500
177,FR,10,4195,0.00100
178,FR,10,2097,0.00050
179,FR,10,419,0.00010
180,FR,10,0,0.00000
181,FR,11,3203601,1.00000
182,FR,11,1601801,0.50000
183,FR,11,1281440,0.40000
184,FR,11,961080,0.30000
185,FR,11,640720,0.20000
186,FR,11,480540,0.15000
187,FR,11,320360,0.10000
188,FR,11,160180,0.05000
189,FR,11,128144,0.04000
190,FR,11,96108,0.03000
191,FR,11,64072,0.02000
192,FR,11,48054,0.01500
193,FR,11,32036,0.01000
194,FR,11,16018,0.00500
195,FR,11,3204,0.00100
196,FR,11,1602,0.00050
197,FR,11,320,0.00010
198,FR,11,0,0.00000
199,FR,12,2498249,1.00000
200,FR,12,1249125,0.50000
201,FR,12,999300,0.40000
202,FR,12,749475,0.30000
203,FR,12,499650,0.20000
