productTaxCategoryId,countryCode,productTaxCategoryName,productTaxCategoryDescription,vatCategoryId
1,AT,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
2,BE,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
3,BG,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
4,HR,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
5,CY,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
6,CZ,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
7,DK,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
8,EE,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
9,FI,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
10,FR,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
11,DE,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
12,GR,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
13,HU,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
14,IE,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
15,IT,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
16,LV,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
17,LT,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
18,LU,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
19,MT,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
20,NL,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
21,PL,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
22,PT,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
23,RO,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
24,SK,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
25,SI,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
26,ES,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
27,SE,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
28,CH,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
29,GB,A_GEN_STANDARD,Items typically included within this product tax code include general merchandise that is otherwise not included in more specific tax product codes.,S
30,AT,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,R2
31,BE,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,R
32,BG,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,R
33,HR,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,R2
34,CY,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,R
35,CZ,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,R2
36,DK,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,S
37,EE,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,R
38,FI,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,R2
39,FR,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,R2
40,DE,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,R
41,GR,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,R2
42,HU,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,R2
43,IE,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,Z
44,IT,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,SR
45,LV,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,R2
46,LT,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,R
47,LU,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,SR
48,MT,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,R
49,NL,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,R
50,PL,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,R2
51,PT,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,R2
52,RO,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,R2
53,SK,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,R
54,SI,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,R2
55,ES,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,SR
56,SE,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,R2
57,CH,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,R2
58,GB,A_BOOKS_GEN,Items typically included within this product tax code include printed books and booklets.,Z
59,AT,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",R2
60,BE,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",R
61,BG,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",S
62,HR,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",S
63,CY,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",R
64,CZ,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",R
65,DK,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",S
66,EE,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",S
67,FI,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",R
68,FR,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",R2
69,DE,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",R
70,GR,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",S
71,HU,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",S
72,IE,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",Z
73,IT,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",R
74,LV,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",S
75,LT,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",S
76,LU,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",SR
77,MT,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",Z
78,NL,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",R
79,PL,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",R
80,PT,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",S
81,RO,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",R
82,SK,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",S
83,SI,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",R
84,ES,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",R
85,SE,A_FOOD_GEN,"Items typically included within this product tax code include general food, boxed meals, sweeteners, sugar, gravy, oatmeal, cornflakes, pasta sauces, and other general food items.",R
