afnRemovalOrderId,amazonId,source,requestDate,lastUpdate,orderType,warehouseId,orderStatus,totalRemovalFee,removalFeeCurrency
,YRQ4ZJ7gwi,Seller-configured Automated Fulfillable Removal System,2024-03-16,2024-03-16,Return,1,Pending,0.00,EUR
,syXsmX6Yly,Seller-configured Automated Unfulfillable Removal System,2024-03-02,2024-03-08,Return,1,Completed,3.50,EUR
,5t5Rs1rZ7q,Seller-configured Automated Fulfillable Removal System,2024-02-16,2024-02-18,Return,1,Completed,0.67,EUR
,P9Eyoteq37,Seller-configured Automated Unfulfillable Removal System,2024-02-02,2024-02-03,Return,1,Completed,0.39,EUR
,iBCyWm/4kp,Seller-configured Automated Fulfillable Removal System,2024-01-18,2024-01-22,Return,1,Completed,11.65,EUR
,3k69V4g+vP,Seller-configured Automated Unfulfillable Removal System,2024-01-02,2024-02-23,Return,1,Completed,9.49,EUR
,2M01Bp5CZa,Seller-configured Automated Fulfillable Removal System,2023-12-17,2023-12-21,Return,1,Completed,0.41,EUR
,Y6SCGEfCqR,Seller-configured Automated Unfulfillable Removal System,2023-12-02,2023-12-22,Return,1,Completed,1.26,EUR
,Qn4ipa1GV2,Seller-configured Automated Fulfillable Removal System,2023-11-21,2024-01-05,Return,1,Completed,2.36,EUR
,PgMy9SJ9G4,Seller-configured Automated Unfulfillable Removal System,2023-11-02,2023-11-18,Return,1,Completed,1.18,EUR
,gTYPSQepAy,Seller-configured Automated Fulfillable Removal System,2023-10-17,2023-11-06,Return,1,Completed,362.96,EUR
,h9mcWOp7QW,Seller-configured Automated Unfulfillable Removal System,2023-10-02,2023-10-11,Return,1,Completed,3.95,EUR
,61bc47b8bb,Automated removal system for amazon-owned inventory,2023-09-30,2023-10-06,Return,1,Completed,0.78,EUR
,491b3df2eb,Automated removal system for amazon-owned inventory,2023-09-30,2023-09-30,Return,1,Completed,0.00,EUR
,MRpxxZarTF,Seller-configured Automated Fulfillable Removal System,2023-09-17,2023-09-21,Return,1,Completed,35.40,EUR
,ZJ66uDnP5V,Seller-configured Automated Unfulfillable Removal System,2023-09-02,2023-09-22,Return,1,Completed,7.14,EUR
,otoihpeB5z,Amazon-initiated Automated Expiring Removal System,2023-08-31,2023-09-22,Return,1,Completed,2.95,EUR
,TGBPGnaEqS,Seller-configured Automated Fulfillable Removal System,2023-08-16,2023-08-17,Return,1,Completed,0.41,EUR
,lZom7ucCZo,Seller-configured Automated Unfulfillable Removal System,2023-08-02,2023-09-13,Return,1,Completed,3.33,EUR
,iAXpK0a8dt,Seller-configured Automated Fulfillable Removal System,2023-07-17,2023-08-11,Return,1,Completed,213.26,EUR
,a7wBGQ+aCS,Seller-configured Automated Unfulfillable Removal System,2023-07-02,2023-07-05,Return,1,Completed,2.32,EUR
,cKrPUZF9UO,Seller-configured Automated Unfulfillable Removal System,2023-06-02,2023-06-12,Return,1,Completed,2.34,EUR
,230524RRE,Seller-initiated Manual Removal,2023-05-24,2023-05-26,Return,1,Completed,1.00,EUR
,230524R6O,Seller-initiated Manual Removal,2023-05-24,2023-07-21,Return,1,Completed,5.31,EUR
,Rzh7ZWP7wW,Seller-configured Automated Unfulfillable Removal System,2023-03-06,2023-03-15,Return,1,Completed,3.00,EUR
,vQQArD1RYM,Seller-configured Automated Unfulfillable Removal System,2023-02-21,2023-03-01,Return,1,Completed,2.65,EUR
,tEcvoZC4nO,Seller-configured Automated Fulfillable Removal System,2023-02-20,2023-02-21,Return,1,Completed,0.58,EUR
,vZfKdrqIMa,Seller-configured Automated Unfulfillable Removal System,2023-01-21,2023-02-06,Return,1,Completed,4.78,EUR
,WIpEP8pRbe,Seller-configured Automated Unfulfillable Removal System,2023-01-21,2023-01-21,Liquidations,,Completed,0.00,EUR
,ic6cNzpflL,Seller-configured Automated Fulfillable Removal System,2023-01-16,2023-01-25,Return,1,Completed,127.93,EUR
,230103PIL,Seller-initiated Manual Removal,2023-01-03,2023-01-20,Return,1,Completed,8.19,EUR
,dxwLrk7iMl,Automated Stranded Removal System,2023-01-02,2023-01-10,Disposal,,Completed,19.80,EUR
,XpjfwZJ17G,Seller-configured Automated Unfulfillable Removal System,2022-12-21,2022-12-30,Return,1,Completed,0.78,EUR
,IkjLP1fuX1,Seller-configured Automated Unfulfillable Removal System,2022-12-06,2023-01-10,Return,1,Completed,81.56,EUR
,wQ39pPUkgC,Seller-configured Automated Unfulfillable Removal System,2022-11-21,2022-12-30,Return,1,Completed,1.56,EUR
,hbdubL2ueI,Seller-configured Automated Unfulfillable Removal System,2022-11-21,2022-11-21,Liquidations,,Cancelled,0.00,EUR
,221111109C,Seller-initiated Manual Removal,2022-11-11,2022-12-02,Return,1,Completed,0.00,EUR
,221111P1W,Seller-initiated Manual Removal,2022-11-11,2022-11-16,Return,1,Completed,0.78,EUR
,221111OW8,Seller-initiated Manual Removal,2022-11-11,2022-11-11,Return,1,Cancelled,0.00,EUR
,5mS64K1rrh,Seller-configured Automated Unfulfillable Removal System,2022-11-06,2022-11-06,Return,1,Cancelled,0.00,EUR
,Ss41crYmNf,Seller-configured Automated Unfulfillable Removal System,2022-11-06,2022-11-17,Liquidations,,Completed,0.00,EUR
,MtBV7ie+Ji,Seller-configured Automated Unfulfillable Removal System,2022-09-21,2022-10-04,Return,1,Completed,0.29,EUR
,wtM8tnpRAN,Seller-configured Automated Unfulfillable Removal System,2022-09-06,2022-09-19,Return,1,Completed,1.54,EUR
,Xm8ek0s030,Automated Recalled Units Removal System,2022-08-14,2022-10-17,Disposal,,Completed,5.00,EUR
,+/7JJJ7mpO,Seller-configured Automated Unfulfillable Removal System,2022-08-06,2022-08-14,Return,1,Completed,0.39,EUR
,FCxUKJVNWA,Seller-configured Automated Unfulfillable Removal System,2022-08-06,2022-08-16,Liquidations,,Completed,0.00,EUR
,jwSkKCC1XD,Seller-configured Automated Unfulfillable Removal System,2022-07-06,2022-08-03,Return,1,Completed,0.29,EUR
,yKqSVOZdWA,Seller-configured Automated Unfulfillable Removal System,2022-07-06,2022-07-29,Liquidations,,Completed,0.00,EUR
,2jKDJ3+NP+,Seller-configured Automated Unfulfillable Removal System,2022-06-21,2022-07-13,Return,1,Completed,1.54,EUR
,EGu47qIpos,Seller-configured Automated Unfulfillable Removal System,2022-06-21,2022-06-27,Liquidations,,Completed,0.00,EUR
,JzdQUa86tD,Seller-configured Automated Unfulfillable Removal System,2022-06-06,2022-06-20,Liquidations,,Completed,0.00,EUR
,LmZqhvAQ9D,Seller-configured Automated Unfulfillable Removal System,2022-05-06,2022-05-27,Return,1,Completed,1.00,EUR
,220421VRN,Seller-initiated Manual Removal,2022-04-21,2022-05-23,Return,1,Completed,10.92,EUR
,NzngYG17Zf,Seller-configured Automated Unfulfillable Removal System,2022-04-21,2022-04-29,Return,1,Completed,6.65,EUR
,AuntJacki,Seller-initiated Manual Removal,2022-04-08,2022-05-19,Return,1,Completed,34.32,EUR
,HL9BgZ3eIA,Seller-configured Automated Unfulfillable Removal System,2022-04-06,2022-04-18,Return,1,Completed,0.00,EUR
,oXG69axVHk,Seller-configured Automated Unfulfillable Removal System,2022-03-21,2022-04-26,Return,1,Completed,1.20,EUR
,d4gKjE+eM3,Seller-configured Automated Unfulfillable Removal System,2022-03-06,2022-05-05,Return,1,Completed,1.10,EUR
,FQip4ksU6t,Seller-configured Automated Unfulfillable Removal System,2022-02-21,2022-03-08,Return,1,Completed,2.55,EUR
,dC2YBe0eLj,Seller-configured Automated Unfulfillable Removal System,2022-02-06,2022-02-09,Return,1,Completed,4.00,EUR
