afnRemovalOrderDetailId,afnRemovalOrderId,skuId,fnsku,disposition,requestedQuantity,cancelledQuantity,disposedQuantity,shippedQuantity,inProcessQuantity,removalFee,currency
,1,3726,X001LR0G7V,Sellable,1,0,,0,1,,
,1,3806,X001QM06CV,Sellable,14,0,,0,14,,
,1,3808,X001QM06DP,Sellable,10,0,,0,10,,
,1,3815,X001QM08FL,Sellable,2,0,,0,2,,
,1,3813,X001QM08FV,Sellable,1,0,,0,1,,
,1,3809,X001QM3AEH,Sellable,150,0,,0,150,,
,1,3786,X001QM3GLJ,Sellable,2,0,,2,0,,
,1,4019,X001RAJE6L,Sellable,2,0,,2,0,,
,1,4021,X001RANPB1,Sellable,3,0,,3,0,,
,1,3893,X001RDXIJR,Sellable,1,0,,1,0,,
,2,3527,X001GXLJXP,Unsellable,1,0,,1,0,2.83,EUR
,2,4053,X001SOUDP7,Unsellable,1,0,,1,0,0.67,EUR
,3,3655,X001KK4125,Sellable,1,0,,1,0,0.67,EUR
,4,3640,X001KIKGCL,Unsellable,1,0,,1,0,0.39,EUR
,5,3655,X001KK4125,Sellable,8,0,,8,0,4.72,EUR
,5,3730,X001MFGU4Z,Sellable,5,0,,5,0,3.90,EUR
,5,3730,X001MFGU4Z,Sellable,1,0,,1,0,1.26,EUR
,5,3783,X001OBKL6F,Sellable,3,0,,3,0,1.77,EUR
,6,3640,X001KIKGCL,Unsellable,1,0,,1,0,0.39,EUR
,6,3788,X001QM3GKP,Unsellable,1,0,,1,0,7.92,EUR
,6,3881,X001RE2AAJ,Unsellable,1,0,,1,0,0.59,EUR
,6,4053,X001SOUDP7,Unsellable,1,0,,1,0,0.59,EUR
,7,3659,X001KK16GJ,Sellable,1,0,,1,0,0.41,EUR
,8,3950,X001RDSAV3,Unsellable,1,0,,1,0,1.26,EUR
,9,3655,X001KK4125,Sellable,11,11,,0,0,,
,9,3730,X001MFGU4Z,Sellable,4,4,,0,0,,
,9,3781,X001N4NHVT,Sellable,1,0,,1,0,0.59,EUR
,9,3779,X001N4Q8Y7,Sellable,3,0,,3,0,1.77,EUR
,9,3783,X001OBKL6F,Sellable,2,2,,0,0,,
,10,3779,X001N4Q8Y7,Unsellable,1,0,,1,0,0.59,EUR
,10,3950,X001RDSAV3,Unsellable,1,1,,0,0,,
,10,3881,X001RE2AAJ,Unsellable,1,0,,1,0,0.59,EUR
,11,1804,X0016K00BF,Sellable,1,1,,0,0,,
,11,3659,X001KK16GJ,Sellable,264,0,,264,0,108.24,EUR
,11,3655,X001KK4125,Sellable,51,15,,36,0,21.24,EUR
,11,3730,X001MFGU4Z,Sellable,117,1,,116,0,146.16,EUR
,11,3781,X001N4NHVT,Sellable,25,0,,25,0,14.75,EUR
,11,3780,X001N4NHX7,Sellable,22,0,,22,0,12.98,EUR
,11,3779,X001N4Q8Y7,Sellable,105,4,,101,0,59.59,EUR
,12,3779,X001N4Q8Y7,Unsellable,1,1,,0,0,,
,12,4026,X001RAHDX7,Unsellable,1,0,,1,0,1.00,EUR
,12,3935,X001RDQ94X,Unsellable,1,0,,1,0,1.00,EUR
,12,3950,X001RDSAV3,Unsellable,1,1,,0,0,,
,12,3913,X001RDXKDV,Unsellable,1,0,,1,0,0.78,EUR
,12,3883,X001RE2A9Z,Unsellable,1,0,,1,0,0.39,EUR
,12,3881,X001RE2AAJ,Unsellable,1,1,,0,0,,
,12,3849,X001RE5R09,Unsellable,1,0,,1,0,0.78,EUR
,15,3734,X001MNARR3,Sellable,32,0,,32,0,18.88,EUR
,15,3735,X001MNAW1T,Sellable,28,0,,28,0,16.52,EUR
,16,3650,X001KK412Z,Unsellable,9,0,,9,0,5.31,EUR
,16,3803,X001QM3GLT,Unsellable,1,0,,1,0,0.29,EUR
,16,3945,X001RDQDOJ,Unsellable,1,0,,1,0,1.54,EUR
,16,3950,X001RDSAV3,Unsellable,1,1,,0,0,,
,16,3881,X001RE2AAJ,Unsellable,1,1,,0,0,,
,17,3650,X001KK412Z,Unsellable,6,1,,5,0,2.95,EUR
