afnRemovalShipmentId,dataStartTime,dataEndTime,requestDate,orderId,shipmentDate,skuId,fnsku,disposition,shippedQuantity,carrier,trackingNumber,orderType,warehouseId
,2019-01-01,2024-03-19,2024-03-16T22:17:54+05:30,YRQ4ZJ7gwi,2024-03-19T02:46:35+05:30,3786,X001QM3GLJ,Sellable,2,AMZN,FR2399694473,Return,1
,2019-01-01,2024-03-19,2024-03-16T22:17:54+05:30,YRQ4ZJ7gwi,2024-03-19T02:46:35+05:30,4021,X001RANPB1,Sellable,3,AMZN,FR2399694473,Return,1
,2019-01-01,2024-03-19,2024-03-16T22:17:54+05:30,YRQ4ZJ7gwi,2024-03-19T02:46:35+05:30,3893,X001RDXIJR,Sellable,1,AMZN,FR2399694473,Return,1
,2019-01-01,2024-03-19,2024-03-16T22:17:54+05:30,YRQ4ZJ7gwi,2024-03-19T02:46:35+05:30,4019,X001RAJE6L,Sellable,2,AMZN,FR2399694473,Return,1
,2019-01-01,2024-03-19,2024-03-02T05:32:27+05:30,syXsmX6Yly,2024-03-08T22:39:45+05:30,4053,X001SOUDP7,Unsellable,1,LP,6G60350507024,Return,1
,2019-01-01,2024-03-19,2024-03-02T05:32:27+05:30,syXsmX6Yly,2024-03-06T02:44:59+05:30,3527,X001GXLJXP,Unsellable,1,LP,8G48935010244,Return,1
,2019-01-01,2024-03-19,2024-02-17T01:56:09+05:30,5t5Rs1rZ7q,2024-02-18T03:42:13+05:30,3655,X001KK4125,Sellable,1,LP,6G60333079777,Return,1
,2019-01-01,2024-03-19,2024-02-02T04:44:08+05:30,P9Eyoteq37,2024-02-03T10:13:09+05:30,3640,X001KIKGCL,Unsellable,1,LP,6G60315094750,Return,1
,2019-01-01,2024-03-19,2024-01-18T07:20:27+05:30,iBCyWm/4kp,2024-01-20T17:27:10+05:30,3655,X001KK4125,Sellable,8,LP,8G48915885039,Return,1
,2019-01-01,2024-03-19,2024-01-18T07:20:27+05:30,iBCyWm/4kp,2024-01-20T17:27:10+05:30,3783,X001OBKL6F,Sellable,3,LP,8G48915885039,Return,1
,2019-01-01,2024-03-19,2024-01-18T07:20:27+05:30,iBCyWm/4kp,2024-01-20T17:27:10+05:30,3730,X001MFGU4Z,Sellable,1,LP,8G48915885039,Return,1
,2019-01-01,2024-03-19,2024-01-18T07:20:27+05:30,iBCyWm/4kp,2024-01-22T05:25:25+05:30,3730,X001MFGU4Z,Sellable,5,LP,8G48915936403,Return,1
,2019-01-01,2024-03-19,2024-01-02T04:46:31+05:30,3k69V4g+vP,2024-01-24T00:33:53+05:30,3881,X001RE2AAJ,Unsellable,1,AMZN,FR2360982331,Return,1
,2019-01-01,2024-03-19,2024-01-02T04:46:31+05:30,3k69V4g+vP,2024-01-24T00:33:53+05:30,4053,X001SOUDP7,Unsellable,1,AMZN,FR2360982331,Return,1
,2019-01-01,2024-03-19,2024-01-02T04:46:31+05:30,3k69V4g+vP,2024-01-09T21:04:41+05:30,3640,X001KIKGCL,Unsellable,1,LP,8G48911399424,Return,1
,2019-01-01,2024-03-19,2024-01-02T04:46:31+05:30,3k69V4g+vP,2024-02-23T13:29:39+05:30,3788,X001QM3GKP,Unsellable,1,LP_CHRONOPOST_PARCEL_DOM,GX771456367JB,Return,1
,2019-01-01,2024-03-19,2023-12-17T07:29:12+05:30,2M01Bp5CZa,2023-12-21T12:56:38+05:30,3659,X001KK16GJ,Sellable,1,LP,8G48903517799,Return,1
,2019-01-01,2024-03-19,2023-12-02T04:50:02+05:30,Y6SCGEfCqR,2023-12-22T15:35:21+05:30,3950,X001RDSAV3,Unsellable,1,LP,8G48904367232,Return,1
,2019-01-01,2024-03-19,2023-11-21T07:28:33+05:30,Qn4ipa1GV2,2023-11-24T11:45:56+05:30,3781,X001N4NHVT,Sellable,1,LP,6G60204142418,Return,1
,2019-01-01,2024-03-19,2023-11-21T07:28:33+05:30,Qn4ipa1GV2,2023-11-23T14:01:56+05:30,3779,X001N4Q8Y7,Sellable,3,LP,8G48884891017,Return,1
,2019-01-01,2024-03-19,2023-11-02T05:20:20+05:30,PgMy9SJ9G4,2023-11-18T16:29:46+05:30,3881,X001RE2AAJ,Unsellable,1,LP,6G60175258194,Return,1
,2019-01-01,2024-03-19,2023-11-02T05:20:20+05:30,PgMy9SJ9G4,2023-11-10T20:15:37+05:30,3779,X001N4Q8Y7,Unsellable,1,LP,6G60181517186,Return,1
,2019-01-01,2024-03-19,2023-10-17T13:42:48+05:30,gTYPSQepAy,2023-10-17T19:29:50+05:30,3659,X001KK16GJ,Sellable,77,LP,6C17486511012,Return,1
,2019-01-01,2024-03-19,2023-10-17T13:42:48+05:30,gTYPSQepAy,2023-10-18T13:39:34+05:30,3659,X001KK16GJ,Sellable,77,LP,6C17486520496,Return,1
,2019-01-01,2024-03-19,2023-10-17T13:42:48+05:30,gTYPSQepAy,2023-10-18T13:38:39+05:30,3659,X001KK16GJ,Sellable,33,LP,8G48872980969,Return,1
,2019-01-01,2024-03-19,2023-10-17T13:42:48+05:30,gTYPSQepAy,2023-11-06T21:34:23+05:30,3781,X001N4NHVT,Sellable,25,DRUDE,00340601811140015998,Return,1
,2019-01-01,2024-03-19,2023-10-17T13:42:48+05:30,gTYPSQepAy,2023-11-06T21:34:23+05:30,3779,X001N4Q8Y7,Sellable,85,DRUDE,00340601811140015998,Return,1
,2019-01-01,2024-03-19,2023-10-17T13:42:48+05:30,gTYPSQepAy,2023-11-06T21:34:23+05:30,3780,X001N4NHX7,Sellable,22,DRUDE,00340601811140015998,Return,1
,2019-01-01,2024-03-19,2023-10-17T13:42:48+05:30,gTYPSQepAy,2023-11-06T21:34:23+05:30,3659,X001KK16GJ,Sellable,77,DRUDE,00340601811140015998,Return,1
,2019-01-01,2024-03-19,2023-10-17T13:42:48+05:30,gTYPSQepAy,2023-11-06T21:34:23+05:30,3655,X001KK4125,Sellable,36,DRUDE,00340601811140015998,Return,1
,2019-01-01,2024-03-19,2023-10-17T13:42:48+05:30,gTYPSQepAy,2023-11-06T21:34:23+05:30,3730,X001MFGU4Z,Sellable,115,DRUDE,00340601811140015998,Return,1
,2019-01-01,2024-03-19,2023-10-17T13:42:48+05:30,gTYPSQepAy,2023-10-18T23:59:05+05:30,3730,X001MFGU4Z,Sellable,1,LP,8G48872981324,Return,1
,2019-01-01,2024-03-19,2023-10-17T13:42:48+05:30,gTYPSQepAy,2023-10-17T23:56:09+05:30,3779,X001N4Q8Y7,Sellable,16,LP,6G60155527296,Return,1
,2019-01-01,2024-03-19,2023-10-02T05:13:56+05:30,h9mcWOp7QW,2023-10-04T04:16:10+05:30,3913,X001RDXKDV,Unsellable,1,LP,8G48769314297,Return,1
,2019-01-01,2024-03-19,2023-10-02T05:13:56+05:30,h9mcWOp7QW,2023-10-08T02:44:18+05:30,4026,X001RAHDX7,Unsellable,1,DRUDE,00340312898119555554,Return,1
