afnRemovalShipmentId,afnRemovalOrderId,dataStartTime,dataEndTime,requestDate,shipmentDate,skuId,fnsku,disposition,shippedQuantity,carrier,trackingNumber
,1,2019-01-01,2024-03-19,2024-03-16,2024-03-19,3786,X001QM3GLJ,Sellable,2,AMZN,FR2399694473
,1,2019-01-01,2024-03-19,2024-03-16,2024-03-19,4021,X001RANPB1,Sellable,3,AMZN,FR2399694473
,1,2019-01-01,2024-03-19,2024-03-16,2024-03-19,3893,X001RDXIJR,Sellable,1,AMZN,FR2399694473
,1,2019-01-01,2024-03-19,2024-03-16,2024-03-19,4019,X001RAJE6L,Sellable,2,AMZN,FR2399694473
,2,2019-01-01,2024-03-19,2024-03-02,2024-03-08,4053,X001SOUDP7,Unsellable,1,LP,6G60350507024
,2,2019-01-01,2024-03-19,2024-03-02,2024-03-06,3527,X001GXLJXP,Unsellable,1,LP,8G48935010244
,3,2019-01-01,2024-03-19,2024-02-17,2024-02-18,3655,X001KK4125,Sellable,1,LP,6G60333079777
,4,2019-01-01,2024-03-19,2024-02-02,2024-02-03,3640,X001KIKGCL,Unsellable,1,LP,6G60315094750
,5,2019-01-01,2024-03-19,2024-01-18,2024-01-20,3655,X001KK4125,Sellable,8,LP,8G48915885039
,5,2019-01-01,2024-03-19,2024-01-18,2024-01-20,3783,X001OBKL6F,Sellable,3,LP,8G48915885039
,5,2019-01-01,2024-03-19,2024-01-18,2024-01-20,3730,X001MFGU4Z,Sellable,1,LP,8G48915885039
,5,2019-01-01,2024-03-19,2024-01-18,2024-01-22,3730,X001MFGU4Z,Sellable,5,LP,8G48915936403
,6,2019-01-01,2024-03-19,2024-01-02,2024-01-24,3881,X001RE2AAJ,Unsellable,1,AMZN,FR2360982331
,6,2019-01-01,2024-03-19,2024-01-02,2024-01-24,4053,X001SOUDP7,Unsellable,1,AMZN,FR2360982331
,6,2019-01-01,2024-03-19,2024-01-02,2024-01-09,3640,X001KIKGCL,Unsellable,1,LP,8G48911399424
,6,2019-01-01,2024-03-19,2024-01-02,2024-02-23,3788,X001QM3GKP,Unsellable,1,LP_CHRONOPOST_PARCEL_DOM,GX771456367JB
,7,2019-01-01,2024-03-19,2023-12-17,2023-12-21,3659,X001KK16GJ,Sellable,1,LP,8G48903517799
,8,2019-01-01,2024-03-19,2023-12-02,2023-12-22,3950,X001RDSAV3,Unsellable,1,LP,8G48904367232
,9,2019-01-01,2024-03-19,2023-11-21,2023-11-24,3781,X001N4NHVT,Sellable,1,LP,6G60204142418
,9,2019-01-01,2024-03-19,2023-11-21,2023-11-23,3779,X001N4Q8Y7,Sellable,3,LP,8G48884891017
,10,2019-01-01,2024-03-19,2023-11-02,2023-11-18,3881,X001RE2AAJ,Unsellable,1,LP,6G60175258194
,10,2019-01-01,2024-03-19,2023-11-02,2023-11-10,3779,X001N4Q8Y7,Unsellable,1,LP,6G60181517186
,11,2019-01-01,2024-03-19,2023-10-17,2023-10-17,3659,X001KK16GJ,Sellable,77,LP,6C17486511012
,11,2019-01-01,2024-03-19,2023-10-17,2023-10-18,3659,X001KK16GJ,Sellable,77,LP,6C17486520496
,11,2019-01-01,2024-03-19,2023-10-17,2023-10-18,3659,X001KK16GJ,Sellable,33,LP,8G48872980969
,11,2019-01-01,2024-03-19,2023-10-17,2023-11-06,3781,X001N4NHVT,Sellable,25,DRUDE,00340601811140015998
,11,2019-01-01,2024-03-19,2023-10-17,2023-11-06,3779,X001N4Q8Y7,Sellable,85,DRUDE,00340601811140015998
,11,2019-01-01,2024-03-19,2023-10-17,2023-11-06,3780,X001N4NHX7,Sellable,22,DRUDE,00340601811140015998
,11,2019-01-01,2024-03-19,2023-10-17,2023-11-06,3659,X001KK16GJ,Sellable,77,DRUDE,00340601811140015998
,11,2019-01-01,2024-03-19,2023-10-17,2023-11-06,3655,X001KK4125,Sellable,36,DRUDE,00340601811140015998
,11,2019-01-01,2024-03-19,2023-10-17,2023-11-06,3730,X001MFGU4Z,Sellable,115,DRUDE,00340601811140015998
,11,2019-01-01,2024-03-19,2023-10-17,2023-10-18,3730,X001MFGU4Z,Sellable,1,LP,8G48872981324
,11,2019-01-01,2024-03-19,2023-10-17,2023-10-17,3779,X001N4Q8Y7,Sellable,16,LP,6G60155527296
,12,2019-01-01,2024-03-19,2023-10-02,2023-10-04,3913,X001RDXKDV,Unsellable,1,LP,8G48769314297
,12,2019-01-01,2024-03-19,2023-10-02,2023-10-08,4026,X001RAHDX7,Unsellable,1,DRUDE,00340312898119555554
,12,2019-01-01,2024-03-19,2023-10-02,2023-10-06,3849,X001RE5R09,Unsellable,1,LP,6G58242786589
,12,2019-01-01,2024-03-19,2023-10-02,2023-10-11,3935,X001RDQ94X,Unsellable,1,LP,8G48770054205
,12,2019-01-01,2024-03-19,2023-10-02,2023-10-11,3883,X001RE2A9Z,Unsellable,1,LP,8G48770054205
,15,2019-01-01,2024-03-19,2023-09-17,2023-09-21,3735,X001MNAW1T,Sellable,1,LP,6G56906963741
,15,2019-01-01,2024-03-19,2023-09-17,2023-09-19,3735,X001MNAW1T,Sellable,26,AMZN,FR2253938462
,15,2019-01-01,2024-03-19,2023-09-17,2023-09-19,3734,X001MNARR3,Sellable,32,AMZN,FR2253938462
,15,2019-01-01,2024-03-19,2023-09-17,2023-09-18,3735,X001MNAW1T,Sellable,1,LP,6G59841275641
,16,2019-01-01,2024-03-19,2023-09-02,2023-09-04,3803,X001QM3GLT,Unsellable,1,LP,8G48766010543
