referralFeeCategoryId,countryCode,referralFeeCategoryNameEn,referralFeePercentage,reducedReferralFeePercentage,reducedReferralFeeLimit,reducedReferralFeeThreshold,perItemMinimumReferralFee,closingFee,currencyCode
,FR,Additive Manufacturing,0.123600,,,,0.30,0.00,EUR
,FR,Amazon Device Accessories,0.463500,,,,0.30,0.00,EUR
,FR,Automotive and Powersports,0.154500,0.092700,50.00,,0.30,0.00,EUR
,FR,Baby Products,0.154500,0.082400,10.00,,0.30,0.00,EUR
,FR,Backpacks and Handbags,0.154500,,,,0.30,0.00,EUR
,FR,"Beauty, Health, and Personal Care*",0.154500,0.082400,10.00,,0.30,0.00,EUR
,FR,"Beer, Wine, and Spirits",0.103000,,,,0.30,0.00,EUR
,FR,Books,0.154500,,,,0.00,0.61,EUR
,FR,"Media – Books, DVD, Music, Software, Video",0.154500,,,,0.00,0.61,EUR
,FR,"Business, Industrial, and Scientific Supplies",0.154500,,,,0.30,0.00,EUR
,FR,Car and Motorbike Electronic Accessories,0.154500,0.082400,,100.00,0.30,0.00,EUR
,FR,Clothing and Accessories,0.154500,0.072100,,45.00,0.30,0.00,EUR
,FR,Compact Appliances,0.154500,,,,0.30,0.00,EUR
,FR,Computers,0.072100,,,,0.30,0.00,EUR
,FR,Computer Accessories,0.154500,0.082400,,100.00,0.30,0.00,EUR
,FR,Consumer Electronics,0.072100,,,,0.30,0.00,EUR
,FR,Cycling,0.154500,,,,0.00,0.00,EUR
,FR,Cycling Accessories,0.082400,,,,0.30,0.00,EUR
,FR,DIY & Tools,0.133900,,,,0.30,0.00,EUR
,FR,Education Supplies,0.154500,,,,0.30,0.00,EUR
,FR,Electronic Accessories,0.154500,0.082400,,100.00,0.30,0.00,EUR
,FR,Eyewear,0.154500,,,,0.30,0.00,EUR
,FR,Flow Control and Filtration,0.123600,,,,0.30,0.00,EUR
,FR,Fluid Transfer,0.123600,,,,0.30,0.00,EUR
,FR,Food Service,0.154500,,,,0.30,0.00,EUR
,FR,Footwear,0.154500,,,,0.30,0.00,EUR
,FR,Full-Size Appliances,0.072100,,,,0.30,0.00,EUR
,FR,Furniture,0.154500,0.103000,,200.00,0.30,0.00,EUR
,FR,Grocery and Gourmet,0.154500,0.082400,10.00,,0.00,0.00,EUR
,FR,Handmade,0.123600,,,,0.30,0.00,EUR
,FR,Home and Kitchen,0.154500,,,,0.30,0.00,EUR
,FR,Industrial Electrical Supplies,0.123600,,,,0.30,0.00,EUR
,FR,Industrial Tools and Instruments,0.123600,,,,0.30,0.00,EUR
,FR,Jewelry,0.206000,0.051500,,250.00,0.30,0.00,EUR
,FR,Lawn and Garden,0.154500,,,,0.30,0.00,EUR
,FR,Material Handling,0.123600,,,,0.30,0.00,EUR
,FR,Mattresses,0.154500,,,,0.30,0.00,EUR
,FR,Metalworking,0.123600,,,,0.30,0.00,EUR
,FR,Musical Instruments and AV Production,0.123600,,,,0.30,0.00,EUR
,FR,Office Products,0.154500,,,,0.30,0.00,EUR
,FR,Pet Products,0.154500,,,,0.30,0.00,EUR
