dailyAverageExchangeRateId,currencyCode,rateToEur,date
,GBP,0.907181,2019-01-1
,GBP,0.9016,2019-01-2
,GBP,0.902645,2019-01-3
,GBP,0.896142,2019-01-4
,GBP,0.895172,2019-01-5
,GBP,0.895172,2019-01-6
,GBP,0.898505,2019-01-7
,GBP,0.899089,2019-01-8
,GBP,0.903271,2019-01-9
,GBP,0.902185,2019-01-10
,GBP,0.894338,2019-01-11
,GBP,0.892433,2019-01-12
,GBP,0.892433,2019-01-13
,GBP,0.89171,2019-01-14
,GBP,0.892309,2019-01-15
,GBP,0.8868,2019-01-16
,GBP,0.880148,2019-01-17
,GBP,0.880989,2019-01-18
,GBP,0.882755,2019-01-19
,GBP,0.882755,2019-01-20
,GBP,0.881436,2019-01-21
,GBP,0.876974,2019-01-22
,GBP,0.871137,2019-01-23
,GBP,0.869075,2019-01-24
,GBP,0.866905,2019-01-25
,GBP,0.863707,2019-01-26
,GBP,0.863707,2019-01-27
,GBP,0.869345,2019-01-28
,GBP,0.869289,2019-01-29
,GBP,0.87409,2019-01-30
,GBP,0.871857,2019-01-31
,GBP,0.876934,2019-02-1
,GBP,0.875217,2019-02-2
,GBP,0.875217,2019-02-3
,GBP,0.875179,2019-02-4
,GBP,0.881278,2019-02-5
,GBP,0.878256,2019-02-6
,GBP,0.875595,2019-02-7
,GBP,0.875513,2019-02-8
,GBP,0.875293,2019-02-9
,GBP,0.875293,2019-02-10
,GBP,0.876817,2019-02-11
,GBP,0.877863,2019-02-12
,GBP,0.877523,2019-02-13
,GBP,0.881858,2019-02-14
,GBP,0.876602,2019-02-15
,GBP,0.875964,2019-02-16
,GBP,0.875964,2019-02-17
,GBP,0.875027,2019-02-18
,GBP,0.869336,2019-02-19
,GBP,0.869165,2019-02-20
,GBP,0.868443,2019-02-21
,GBP,0.868261,2019-02-22
,GBP,0.868852,2019-02-23
,GBP,0.868852,2019-02-24
,GBP,0.868887,2019-02-25
,GBP,0.858249,2019-02-26
,GBP,0.853712,2019-02-27
,GBP,0.857026,2019-02-28
