fbaFeeId,asinId,packageLength,packageWidth,packageHeight,packageWeight,priceGridFbaFeeId
,1,25.0,24.8,2.0,740.0,9
,2,20.4,14.2,2.8,360.0,5
,3,18.8,16.6,2.0,380.0,4
,4,17.0,12.6,1.4,381.0,4
,5,17.0,12.6,1.6,281.0,4
,6,29.2,22.4,1.0,440.0,4
,7,17.8,10.8,2.0,200.0,3
,8,17.8,12.4,1.4,200.0,3
,9,19.0,10.8,2.8,281.0,5
,10,17.0,10.8,2.6,281.0,5
,11,23.9,15.5,3.3,560.0,5
,12,20.8,13.6,2.4,458.0,4
,13,28.4,22.4,3.6,500.0,5
,14,28.6,24.4,2.2,1460.0,11
,15,17.6,10.8,1.8,141.0,3
,16,17.0,11.0,2.8,259.0,5
,17,24.4,15.4,4.8,800.0,6
,18,17.8,11.2,2.5,259.0,4
,19,25.4,25.2,1.2,400.0,14
,20,21.2,16.0,4.0,920.0,5
,21,17.6,10.8,1.4,140.0,3
,22,17.8,11.4,2.8,422.0,5
,23,24.0,18.8,2.6,920.0,5
,24,18.0,11.0,3.0,281.0,5
,25,30.0,22.4,1.0,400.0,4
,26,27.2,21.2,4.4,1338.0,10
,27,27.4,23.2,2.4,1320.0,10
,28,23.2,22.6,3.4,520.0,5
,29,23.9,15.5,3.8,600.0,5
,30,28.6,24.8,3.0,2018.0,12
,31,17.2,10.7,2.4,181.0,3
,33,28.6,28.2,1.2,560.0,15
,34,27.8,22.2,1.8,800.0,5
,35,36.2,27.6,1.4,939.0,16
,36,17.7,10.8,2.3,200.0,3
,37,21.4,15.2,1.6,299.0,4
,38,31.0,26.0,3.8,2420.0,18
,39,28.4,22.2,3.2,1840.0,11
,40,25.8,21.4,2.4,1102.0,10
,41,29.0,23.8,3.4,1760.0,11
,42,30.4,21.8,2.8,1500.0,11
,43,29.2,27.6,2.0,1320.0,16
,44,31.2,25.0,2.2,1400.0,10
,45,25.1,17.8,1.5,522.0,5
,46,20.2,12.8,2.6,300.0,5
,47,26.4,19.6,1.6,399.0,4
,48,23.4,15.4,2.0,560.0,5
,49,28.4,24.4,1.8,1080.0,10
,50,20.8,13.4,1.2,220.0,4
,51,20.5,13.2,2.7,340.0,5
,52,20.0,14.0,2.4,316.0,4
,53,25.8,20.4,1.6,740.0,5
,54,23.4,22.2,5.4,2830.0,12
,55,26.2,21.6,2.4,1080.0,10
,56,25.2,24.0,1.4,739.0,9
,57,21.4,15.8,3.2,740.0,5
,58,31.8,24.6,2.6,1878.0,11
,59,23.1,19.8,2.0,620.0,5
,60,25.8,21.4,2.6,1102.0,10
,61,24.8,22.6,2.2,1020.0,10
,62,29.2,21.2,1.8,940.0,5
,63,25.0,20.0,3.6,1600.0,11
,64,8.0,8.0,5.0,82.0,6
,65,21.8,14.0,3.2,480.0,5
,66,22.8,15.0,4.0,680.0,5
,67,21.8,14.0,3.0,400.0,5
,68,28.8,23.6,1.8,1040.0,10
,69,25.2,20.2,1.6,662.0,5
,70,28.6,21.4,2.8,1500.0,11
,71,38.0,26.0,23.0,2080.0,18
,72,21.0,14.0,3.6,480.0,5
,73,21.8,14.2,2.6,350.0,5
,74,18.0,13.8,1.5,83.0,3
,75,22.0,14.2,2.6,380.0,5
,76,22.4,14.0,2.6,480.0,5
,77,19.2,13.8,1.4,120.0,3
,78,19.6,13.4,3.0,360.0,5
,79,21.8,14.0,2.0,240.0,4
,80,33.0,22.9,7.4,440.0,9
,81,25.6,19.8,3.4,2018.0,12
,83,30.6,25.6,2.4,1640.0,17
,84,21.2,14.2,3.6,480.0,5
,86,30.8,24.2,3.0,1760.0,11
,87,25.8,18.6,4.8,320.0,6
,88,18.5,16.5,13.5,100.0,13
,89,27.6,22.8,2.2,1100.0,10
,90,28.8,23.8,1.8,1060.0,10
,91,22.8,15.2,3.4,540.0,5
,92,30.4,24.6,3.0,1919.0,12
,93,23.8,17.4,2.4,660.0,5
,94,20.8,17.0,15.6,300.0,14
,95,19.4,12.0,2.7,100.0,5
,96,27.4,21.4,4.2,2241.0,12
,97,23.8,15.2,2.6,480.0,5
,98,24.2,20.4,2.0,939.0,5
,99,31.6,25.6,2.0,1719.0,17
