formattedCatalogId,ean,supplierPartNumber,productName,productPriceExc,productVatRate,currencyCode
,9782330179045,,Au prochain arrêt,1.84,0.055,EUR
,9782408015688,,L'enfer au collège,1.6,0.055,EUR
,9782747051415,,"Les grandes grandes vacances, Tome 02: Pris dans la tourmente",2.09,0.055,EUR
,9782354134938,,Livre à gratter avec autocollants - Chevaux,2.76,0.055,EUR
,9782849336212,,Burn after writing - L'édition française officielle,3.81,0.055,EUR
,9782747086073,,"Le manoir saison 1, Tome 01: Liam et la carte d'éternité",2.33,0.055,EUR
,9782757604847,,Abdos express,2.7,0.055,EUR
,9782813225344,,"Moi, j'y crois - Mes anges, mes guides, mes prémonitions",4.67,0.055,EUR
,9782747076869,,Les grands saints en BD,4.91,0.055,EUR
,9782732499628,,Le Loup,3.07,0.055,EUR
,9782371042834,,Rome,1.72,0.055,EUR
,9782365495615,,"50 nuances de gras T02 par monsieur Keto - Brûle du gras, kiffe tes plats",3.93,0.055,EUR
,9782742733767,,De si jolis chevaux,4.91,0.055,EUR
,9782379222733,,Écorces - Voyage dans l'intimité des arbres du monde,8.1,0.055,EUR
,9782290380321,,Nom,1.47,0.055,EUR
,9782879016603,,Espagnols A Bordeaux Et En Aquitaine,2.46,0.055,EUR
,9782365494700,,Arrêtons de saboter notre immunité,5.89,0.055,EUR
,9782359907018,,MES LIVRES SONORES - CHERCHE ET TROUVE ANIMAUX - 200 SONS,5.4,0.055,EUR
,9782365495028,,"Simplement kéto, mes conseils et 50 recettes pour maigrir sans frustration",4.6,0.055,EUR
,9782747083041,,"Animal Tatoo poche saison 1, Tome 07: L'arbre éternel",2.33,0.055,EUR
,9782747051170,,"Animal Tatoo saison 1, Tome 02: Traqués",3.81,0.055,EUR
,9782747083034,,"Animal Tatoo poche saison 1, Tome 06: La chute",2.33,0.055,EUR
,9782412030615,,Le livre de mon prénom - Sacha 51,1.23,0.055,EUR
,9782365494922,,50 Nuances de gras par Monsieur Keto - Des recettes cétogènes irrésistibles pour faire fondre tes kilos,3.93,0.055,EUR
,9782379221101,,Le Guide du jardin créatif - 850 plantes et idées inspirantes,6.02,0.055,EUR
,9782747082884,,"Yakari, Tome 01: Sur la piste du puma",1.6,0.055,EUR
,9782365493970,,Le Grand livre de la DME (Diversification Menée par l'Enfant pas à pas),5.28,0.055,EUR
,9782379220869,,Mon petit potager bio sur 15m²,4.3,0.055,EUR
,9782804705633,,"L'école du cerveau: De Montessori, Freinet et Piaget aux sciences cognitives",4.05,0.055,EUR
,9782846405355,,HAUTE PROVENCE : 24 BELLES BALADES: Verdon - Luberon - Pays de Giono - Ubaye - Mercantour,4.3,0.055,EUR
,9782365495196,,Pourquoi tout compliquer ? Bien manger est si simple !,5.28,0.055,EUR
,9782492847240,,Ma Bulle Zen,4.05,0.055,EUR
,9782747083010,,"Animal Tatoo poche saison 1, Tome 04: La cité de glace",2.33,0.055,EUR
,9782747083027,,"Animal Tatoo poche saison 1, Tome 05: Trahisons",2.33,0.055,EUR
,9782757605141,,ROAD TRIP NBA: DE BOSTON A LOS ANGELES VOYAGE AU COEUR DE LA CULTURE U.S.,8.53,0.055,EUR
,9782408014025,,"In Real Life, Tome 03: Réinitialisation",4.91,0.055,EUR
,9782379222269,,Se nourrir de son jardin - Une année au potager permaculture: Une année au potager permaculturel,4.67,0.055,EUR
,9782851806871,,Méthode de musculation au féminin: 80 exercices sans matériel,6.38,0.055,EUR
,9782747032933,,"Chair de poule , Tome 01: La malédiction de la momie",1.72,0.055,EUR
,9782263157400,,Le livre d'Or de la Coupe du monde 2018,4.3,0.055,EUR
,9782747067577,,"Maîtres des dragons, Tome 03: Le mystère du dragon d'eau",1.72,0.055,EUR
,9782603029916,,La Science à l'épreuve des mauvaises langues: 10 idées reçues décryptées pour bien comprendre la démarche scientifique,6.26,0.055,EUR
,9782379221415,,Mon balcon nourricier en permaculture - Des récoltes abondantes sur 4 m2,4.05,0.055,EUR
,9782365495578,,"Sauvons le pain - Boulangers, citoyens, amorçons la révolution nutritionnelle du pain",5.77,0.055,EUR
,9782816019254,,"Bento, gamelle et lunch-box",3.31,0.055,EUR
