countryCode,urlImage,productName,salesRanking30DaysAvg,salesRanking90DaysAvg,salesRanking180DaysAvg,salesRankingReference,reviewsRating,reviewsCount,amazonCurrent,amazon30DaysAvg,amazon90DaysAvg,amazon180DaysAvg,amazonLowest,amazonHighest,amazon90DaysOOS,newCurrent,new30DaysAvg,new90DaysAvg,new180DaysAvg,newThirdPartyFBACurrent,newThirdPartyFBA30DaysAvg,newThirdPartyFBA90DaysAvg,newThirdPartyFBA180DaysAvg,newThirdPartyFBALowest,fbaPickPackFee,newThirdPartyFBMCurrent,newThirdPartyFBM30DaysAvg,newThirdPartyFBM90DaysAvg,newThirdPartyFBM180DaysAvg,newOffersCurrentCount,newOffers90DaysAvgCount,countRetrievedLiveOffersNewFBA,countRetrievedLiveOffersNewFBM,buyBoxCurrent,buyBox30DaysAvg,buyBox90DaysAvg,buyBox180DaysAvg,buyBoxLowest,buyBoxHighest,buyBoxSeller,buyBoxIsFBA,buyBoxUnqualified,urlAmazon,urlKeepa,categoriesRoot,categoriesSub,asin,ean,brand,numberOfItems,packageLengthCm,packageWidthCm,packageHeightCm,packageWeightG,isHazmat
fr,https://m.media-amazon.com/images/I/51ir1RUBoZL.jpg;https://m.media-amazon.com/images/I/51C3Uv9ETmL.jpg,Au prochain arrêt,3520,3107,3771,Livres,4.3,212,€ 7.90,€ 7.90,€ 7.90,€ 7.90,€ 7.90,€ 7.90,0 %,€ 7.90,€ 7.90,€ 7.90,€ 7.90,,,,,,€ 2.73,€ 15.00,€ 13.97,€ 13.90,€ 13.68,9,11,1,7,€ 7.90,€ 7.90,€ 7.90,€ 7.90,€ 7.90,€ 7.90,Amazon,yes,no,https://www.amazon.fr/dp/2330179049,https://keepa.com/#!product/4-2330179049,Livres,Littérature japonaise,2330179049,9782330179045,,1,17.5,11.1,1.7,140,
fr,https://m.media-amazon.com/images/I/518ZANYsD-L.jpg,L'enfer au collège,57160,47069,37273,Livres,4.6,111,€ 5.90,€ 5.90,€ 5.90,€ 5.90,€ 5.70,€ 5.90,0 %,€ 5.70,€ 5.70,€ 5.70,€ 5.70,,,,,,€ 2.73,€ 10.88,€ 11.54,€ 11.37,€ 10.42,6,6,1,4,€ 5.90,€ 5.90,€ 5.90,€ 5.90,€ 5.70,€ 5.90,Amazon,yes,no,https://www.amazon.fr/dp/2408015685,https://keepa.com/#!product/4-2408015685,Livres,"Littérature et fiction, Scolaire et Parascolaire",2408015685,9782408015688,Editions Milan,1,18,11.8,1.5,83,
fr,https://m.media-amazon.com/images/I/81dayqO+fhL.jpg,"Les grandes grandes vacances, Tome 02: Pris dans la tourmente",19967,21569,21062,Livres,4.8,268,€ 7.50,€ 7.50,€ 7.50,€ 7.50,€ 7.20,€ 7.50,0 %,€ 7.50,€ 7.23,€ 7.21,€ 7.21,,,,,,€ 2.09,€ 11.94,€ 11.94,€ 11.94,€ 11.41,9,10,1,8,€ 7.50,€ 7.50,€ 7.50,€ 7.50,€ 7.20,€ 9.97,Amazon,yes,no,https://www.amazon.fr/dp/2747051412,https://keepa.com/#!product/4-2747051412,Livres,Cahiers de vacances,2747051412,9782747051415,Bayard Jeunesse,1,17.8,12.2,1,20,
fr,https://m.media-amazon.com/images/I/51EeQhIKI1L.jpg,Livre à gratter avec autocollants - Chevaux,,,,,,,€ 10.00,€ 10.00,€ 10.00,€ 10.00,€ 10.00,€ 10.00,0 %,€ 10.00,€ 10.00,€ 10.00,€ 10.00,,,,,,€ 3.21,€ 13.67,€ 13.45,€ 13.44,€ 13.38,5,5,1,3,€ 10.00,€ 10.00,€ 10.00,€ 10.00,€ 10.00,€ 10.00,Amazon,yes,no,https://www.amazon.fr/dp/2354134932,https://keepa.com/#!product/4-2354134932,Livres,Livres de coloriage,2354134932,9782354134938,MINEDITION,1,27.8,21.4,1,220,
fr,https://m.media-amazon.com/images/I/41l6ocI3JmL.jpg;https://m.media-amazon.com/images/I/01VjaT6MigL.jpg,Burn after writing - L'édition française officielle,4077,3561,2979,Livres,4.5,5187,€ 13.90,€ 13.90,€ 13.90,€ 13.90,€ 12.90,€ 13.90,0 %,€ 5.17,€ 12.42,€ 12.73,€ 10.97,€ 13.85,€ 13.94,€ 16.59,€ 17.09,€ 12.90,€ 3.34,€ 17.86,€ 23.32,€ 20.08,€ 18.18,9,9,2,6,€ 13.90,€ 13.90,€ 13.90,€ 13.90,€ 12.90,€ 13.90,Amazon,yes,no,https://www.amazon.fr/dp/2849336211,https://keepa.com/#!product/4-2849336211,Livres,"Développement personnel, Santé familiale, Sécurité",2849336211,9782849336212,,1,20.4,13.5,1.5,150,
fr,https://m.media-amazon.com/images/I/71Ufa5AOJ-L.jpg,"Le manoir saison 1, Tome 01: Liam et la carte d'éternité",10681,36450,29436,Livres,4.5,423,€ 8.30,€ 8.30,€ 8.30,€ 8.30,€ 7.90,€ 8.30,0 %,€ 7.87,€ 7.63,€ 7.43,€ 7.43,,,,,€ 7.80,€ 3.84,,€ 12.69,€ 12.38,€ 11.82,13,15,1,0,€ 8.30,€ 8.30,€ 8.30,€ 8.30,€ 7.80,€ 10.99,Amazon,yes,no,https://www.amazon.fr/dp/2747086070,https://keepa.com/#!product/4-2747086070,Livres,Littérature et fiction,2747086070,9782747086073,Bayard Jeunesse,1,17.8,12.4,2.7,280,
fr,https://m.media-amazon.com/images/I/51Svmcy6aIL.jpg;https://m.media-amazon.com/images/I/51rZDVg6izL.jpg;https://m.media-amazon.com/images/I/519lsPwpuLL.jpg;https://m.media-amazon.com/images/I/41anh6-lCWL.jpg;https://m.media-amazon.com/images/I/51fIVPLFe-L.jpg;https://m.media-amazon.com/images/I/41STo-HK3tL.jpg,Abdos express,66151,96172,114222,Livres,4.1,22,€ 10.00,€ 10.00,€ 10.00,€ 10.00,€ 9.95,€ 10.00,0 %,€ 10.00,€ 10.00,€ 10.00,€ 10.00,,,,,,€ 3.84,€ 16.49,€ 17.95,€ 17.04,€ 22.26,8,9,1,5,€ 10.00,€ 10.00,€ 10.00,€ 10.00,€ 9.95,€ 10.00,Amazon,yes,no,https://www.amazon.fr/dp/2757604848,https://keepa.com/#!product/4-2757604848,Livres,"Enseignement du sport, Culturisme et haltérophilie, Étirements",2757604848,9782757604847,AMPHORA,1,23.9,21.1,0.9,670,
fr,https://m.media-amazon.com/images/I/4187juXuCbL.jpg;https://m.media-amazon.com/images/I/41-3FjOQ-gL.jpg,"Moi, j'y crois - Mes anges, mes guides, mes prémonitions",11594,7235,29938,Livres,4.5,554,€ 16.90,€ 16.90,€ 16.90,€ 16.90,€ 16.90,€ 18.00,0 %,€ 16.30,€ 16.52,€ 16.66,€ 16.53,€ 16.30,€ 16.30,€ 16.28,€ 16.41,€ 16.28,€ 3.82,€ 19.87,€ 19.87,€ 20.07,€ 19.98,13,12,2,9,€ 16.30,€ 16.73,€ 17.01,€ 16.71,€ 16.28,€ 21.30,3rd Party (A34T5RKKJFRR0B),yes,no,https://www.amazon.fr/dp/2813225347,https://keepa.com/#!product/4-2813225347,Livres,"Anges et angéologie, Voyance, Vampires, fantômes, fées et autres créatures",2813225347,9782813225344,TREDANIEL,1,22,14.8,1.7,310,
fr,https://m.media-amazon.com/images/I/71oyt89UcaL.jpg,Les grands saints en BD,28988,45199,64783,Livres,4.6,47,€ 17.90,€ 17.90,€ 17.90,€ 17.90,€ 17.20,€ 17.90,0 %,€ 17.20,€ 17.20,€ 17.20,€ 17.20,,€ 17.50,€ 17.50,€ 17.50,€ 17.50,€ 6.16,€ 22.53,€ 22.53,€ 22.53,€ 22.46,10,9,1,7,€ 17.90,€ 17.90,€ 17.81,€ 17.85,€ 17.20,€ 21.40,Amazon,yes,no,https://www.amazon.fr/dp/2747076865,https://keepa.com/#!product/4-2747076865,Livres,"Formation et références, Bandes dessinées, Religion, Livres pour enfants",2747076865,9782747076869,Bayard Jeunesse,1,27.6,22,1.9,990,
fr,https://m.media-amazon.com/images/I/51dYkG01vAS.jpg;https://m.media-amazon.com/images/I/31ibXXgZd-S.jpg;https://m.media-amazon.com/images/I/41Tq5QjsroS.jpg;https://m.media-amazon.com/images/I/31mwzVFcRJS.jpg;https://m.media-amazon.com/images/I/4158kpORF7S.jpg;https://m.media-amazon.com/images/I/41PwbsibJ-S.jpg;https://m.media-amazon.com/images/I/41HedjVdXWS.jpg;https://m.media-amazon.com/images/I/41zGQnCqtPS.jpg;https://m.media-amazon.com/images/I/41GqP+PhnAS.jpg;https://m.media-amazon.com/images/I/41BwZ2Hvy+S.jpg,Le Loup,9318,14990,19274,Livres,4.9,116,,€ 9.90,€ 9.90,€ 9.90,€ 9.90,€ 9.90,12 %,€ 9.90,€ 9.90,€ 9.42,€ 9.48,,,,,,€ 3.21,€ 23.40,€ 14.14,€ 12.89,€ 13.06,2,8,0,2,,€ 10.05,€ 9.94,€ 9.92,€ 9.90,€ 13.89,,no,yes,https://www.amazon.fr/dp/2732499625,https://keepa.com/#!product/4-2732499625,Livres,Livres pour enfants,2732499625,9782732499628,,1,21.1,20.9,1.1,330,
