minimumSellingPriceId,skuId,pricingRuleId,enrolledInPanEu,eligibleForPanEu,minimumSellingPriceLocalAndPanEu,minimumSellingPriceEfn,maximumSellingPriceLocalAndPanEu,maximumSellingPriceEfn,currencyCode
,3630,1,FALSE,TRUE,15.34,17.87,23.01,26.8,EUR
,3635,1,TRUE,TRUE,9,13.43,10,20.14,EUR
,3637,1,TRUE,TRUE,9.14,13.67,10,20.5,EUR
,3650,1,TRUE,TRUE,13.27,15.81,19.91,23.71,EUR
,3655,1,TRUE,TRUE,14.58,17.56,21.87,26.34,EUR
,3659,1,TRUE,TRUE,14.22,17.19,21.33,25.79,EUR
,3709,1,TRUE,TRUE,15.1,18.16,22.65,27.24,EUR
,3723,1,FALSE,TRUE,11.23,13.76,16.84,20.64,EUR
,3724,1,TRUE,TRUE,21.94,28.8,32.91,43.2,EUR
,3725,1,TRUE,TRUE,18.64,23.65,27.96,35.47,EUR
,3726,1,TRUE,TRUE,23.87,26.84,35.8,40.26,EUR
,3727,1,FALSE,TRUE,14.73,17.71,22.09,26.57,EUR
,3728,1,TRUE,TRUE,11.28,13.82,16.92,20.73,EUR
,3730,1,TRUE,TRUE,17.9,22.42,26.85,33.63,EUR
,3734,1,TRUE,TRUE,14.42,16.96,21.63,25.44,EUR
,3735,1,TRUE,TRUE,16.97,19.95,25.45,29.92,EUR
,3777,1,TRUE,TRUE,20.56,25.57,30.84,38.36,EUR
,3778,1,FALSE,TRUE,34.14,37.11,51.21,55.66,EUR
,3779,1,TRUE,TRUE,13.91,16.44,20.87,24.66,EUR
,3780,1,TRUE,TRUE,15.19,18.25,22.79,27.38,EUR
,3781,1,TRUE,TRUE,17.8,20.86,26.7,31.29,EUR
,3783,1,TRUE,TRUE,16.37,19.35,24.55,29.03,EUR
,3785,1,TRUE,TRUE,17.62,20.68,26.43,31.02,EUR
,3786,1,TRUE,TRUE,22.13,24.66,33.2,36.99,EUR
,3788,1,TRUE,TRUE,156.53,171.65,234.8,257.48,EUR
,3789,1,FALSE,TRUE,158.18,170.35,237.27,255.52,EUR
,3790,1,TRUE,TRUE,11.15,14.72,16.73,22.08,EUR
,3791,1,TRUE,TRUE,13.05,16.62,19.58,24.93,EUR
,3794,1,TRUE,TRUE,40.58,43.86,60.87,65.79,EUR
,3806,1,TRUE,TRUE,17.77,22.77,26.66,34.16,EUR
,3807,1,TRUE,TRUE,17.03,22.04,25.55,33.06,EUR
,3808,1,TRUE,TRUE,15.06,19.15,22.59,28.72,EUR
,3809,1,TRUE,TRUE,15.06,19.15,22.59,28.72,EUR
,3810,1,FALSE,TRUE,11.99,14.97,17.98,22.46,EUR
,3813,1,TRUE,TRUE,30.46,34.56,45.69,51.84,EUR
,3814,1,TRUE,TRUE,30.46,34.56,45.69,51.84,EUR
,3815,1,TRUE,TRUE,30.46,34.56,45.69,51.84,EUR
,3816,1,TRUE,TRUE,30.46,34.56,45.69,51.84,EUR
,3819,1,TRUE,TRUE,30.46,34.56,45.69,51.84,EUR
,3822,1,TRUE,TRUE,32.63,38.92,48.95,58.38,EUR
,3823,1,TRUE,TRUE,16.43,19.4,24.64,29.1,EUR
,3825,1,TRUE,TRUE,30.46,34.56,45.69,51.84,EUR
,3827,1,TRUE,TRUE,241.11,246.12,361.67,369.18,EUR
,3829,1,FALSE,TRUE,24.05,29.92,36.08,44.88,EUR
,3830,1,TRUE,TRUE,13.89,16.14,20.84,24.21,EUR
,3831,1,TRUE,TRUE,18.01,20.18,27.02,30.27,EUR
,3832,1,FALSE,TRUE,14.23,16.4,21.34,24.6,EUR
,3833,1,TRUE,TRUE,14.19,16.45,21.29,24.67,EUR
,3835,1,FALSE,TRUE,24.44,29.82,36.66,44.73,EUR
,3836,1,TRUE,TRUE,33.51,38.89,50.27,58.34,EUR
,3838,1,FALSE,TRUE,16.19,18.36,24.29,27.54,EUR
,3841,1,FALSE,TRUE,16.19,18.36,24.29,27.54,EUR
,3846,1,TRUE,TRUE,14.95,17.2,22.42,25.8,EUR
,3849,1,TRUE,TRUE,19.53,23.81,29.3,35.71,EUR
,3854,1,FALSE,TRUE,14.8,16.97,22.2,25.45,EUR
,3856,1,FALSE,TRUE,14.8,16.97,22.2,25.45,EUR
,3860,1,FALSE,TRUE,15.11,17.27,22.66,25.91,EUR
,3865,1,FALSE,TRUE,17.71,22,26.57,33,EUR
,3868,1,TRUE,TRUE,13.78,15.94,20.67,23.91,EUR
,3869,1,TRUE,TRUE,13.55,15.81,20.33,23.71,EUR
,3870,1,TRUE,TRUE,13.55,15.81,20.33,23.71,EUR
,3871,1,TRUE,TRUE,15.56,17.73,23.34,26.59,EUR
,3874,1,TRUE,TRUE,15.56,17.73,23.34,26.59,EUR
,3883,1,TRUE,TRUE,16.32,18.48,24.48,27.72,EUR
,3884,1,TRUE,TRUE,15.56,17.73,23.34,26.59,EUR
,3885,1,TRUE,TRUE,15.86,18.03,23.79,27.05,EUR
,3886,1,TRUE,TRUE,14.31,16.57,21.46,24.86,EUR
,3890,1,TRUE,TRUE,12.86,15.11,19.29,22.66,EUR
,3893,1,TRUE,TRUE,13.4,15.57,20.1,23.36,EUR
,3895,1,FALSE,TRUE,12.73,14.99,19.09,22.48,EUR
,3898,1,FALSE,TRUE,14.78,17.32,22.17,25.98,EUR
,3904,1,TRUE,TRUE,13.55,15.81,20.33,23.71,EUR
,3905,1,TRUE,TRUE,14.01,16.26,21.02,24.39,EUR
,3906,1,TRUE,TRUE,17.05,19.59,25.58,29.38,EUR
,3913,1,TRUE,TRUE,17.07,19.24,25.61,28.86,EUR
,3914,1,TRUE,TRUE,15.56,17.73,23.34,26.59,EUR
,3915,1,TRUE,TRUE,12,14.81,18,22.21,EUR
