priceGridFbaFeeId,countryCode,fbaPackageCategoryName,categoryMaxWeight,categoryMaxLength,categoryMaxWidth,categoryMaxHeight,fbaFeeLocalAndPanEu,fbaFeeEfnEu,fbaFeeLowPriceLocalAndPanEu,fbaFeeLowPriceEfn,lowPriceThresholdInc,hazmatFee,currencyCode
,FR,small envelope,80,20,15,1,2.70,5.06,2.09,5.06,12.00,0.1,EUR
,FR,standard envelope,60,33,23,2.5,2.80,5.22,2.19,5.22,12.00,0.1,EUR
,FR,standard envelope,210,33,23,2.5,3.34,5.57,2.73,5.57,12.00,0.1,EUR
,FR,standard envelope,460,33,23,2.5,3.82,5.61,3.21,5.61,12.00,0.1,EUR
,FR,large envelope,960,33,23,4,4.45,6.17,3.84,6.17,12.00,0.1,EUR
,FR,extra large envelope,960,33,23,6,4.79,6.81,4.18,6.81,12.00,0.1,EUR
,FR,small parcel,150,35,25,12,4.79,6.81,4.18,6.81,12.00,0.1,EUR
,FR,small parcel,400,35,25,12,5.18,7.26,4.57,7.26,12.00,0.1,EUR
,FR,small parcel,900,35,25,12,5.92,8.70,,,,0.1,EUR
,FR,small parcel,1400,35,25,12,6.16,9.56,,,,0.1,EUR
,FR,small parcel,1900,35,25,12,6.24,10.90,,,,0.1,EUR
,FR,small parcel,3900,35,25,12,9.55,13.82,,,,0.1,EUR
,FR,standard parcel,150,45,34,26,4.84,6.83,,,,0.1,EUR
,FR,standard parcel,400,45,34,26,5.50,7.96,,,,0.1,EUR
,FR,standard parcel,900,45,34,26,6.40,9.47,,,,0.1,EUR
,FR,standard parcel,1400,45,34,26,6.77,10.74,,,,0.1,EUR
,FR,standard parcel,1900,45,34,26,6.97,12.33,,,,0.1,EUR
,FR,standard parcel,2900,45,34,26,9.55,13.82,,,,0.1,EUR
,FR,standard parcel,3900,45,34,26,9.74,16.27,,,,0.1,EUR
,FR,standard parcel,5900,45,34,26,10.22,17.17,,,,0.1,EUR
,FR,standard parcel,8900,45,34,26,11.12,18.60,,,,0.1,EUR
,FR,standard parcel,11900,45,34,26,11.65,21.88,,,,0.1,EUR
,FR,small oversize,760,61,46,46,9.36,14.33,,,,0.1,EUR
,FR,small oversize,1260,61,46,46,9.75,14.81,,,,0.1,EUR
,FR,small oversize,1760,61,46,46,10.39,14.92,,,,0.1,EUR
,FR,small oversize,1760,61,46,46,,,,,,0.1,EUR
,FR,standard oversize,760,120,60,60,9.37,17.94,,,,0.1,EUR
