productAndAmzReferralFeesCategoriesId,productCategoryId,referralFeeCategoryId
,1,7
,1,29
,1,60
,1,82
,1,113
,1,135
,1,166
,1,188
,1,219
,1,241
,1,272
,1,294
,2,43
,2,96
,2,149
,2,202
,2,255
,2,308
,3,40
,3,93
,3,146
,3,199
,3,252
,3,305
,4,6
,5,8
,5,61
,5,114
,5,167
,5,220
,5,273
,5,9
,5,62
,5,115
,5,168
,5,221
,5,274
,6,50
,6,51
,6,103
,6,104
,6,156
,6,157
,6,209
,6,210
,6,262
,6,263
,6,315
,6,316
,6,9
,6,62
,6,115
,6,168
,6,221
,6,274
,7,9
,7,62
,7,115
,7,168
,7,221
,7,274
,8,49
,8,102
,8,155
,8,208
,8,261
,8,314
,9,16
,9,21
,9,69
,9,74
,9,122
,9,127
,9,175
,9,180
,9,228
,9,233
,9,281
,9,286
,10,35
,10,88
,10,141
,10,194
,10,247
,10,300
,11,4
,11,57
,11,110
,11,163
,11,216
,11,269
,12,53
,12,106
,12,159
,12,212
,12,265
,12,318
,13,17
,13,18
,13,46
,13,70
,13,71
,13,99
,13,123
,13,124
,13,152
,13,176
,13,177
,13,205
,13,229
,13,230
,13,258
,13,282
,13,283
,13,311
,14,41
,14,94
,14,147
,14,200
,14,253
,14,306
,15,13
,15,28
,15,31
,15,37
,15,66
,15,81
,15,84
,15,90
,15,119
,15,134
,15,137
,15,143
,15,172
,15,187
,15,190
,15,196
,15,225
,15,240
,15,243
,15,249
,15,278
,15,293
,15,296
,15,302
,16,39
,16,92
,16,145
,16,198
,16,251
,16,304
,17,19
,17,48
,17,72
,17,101
,17,125
,17,154
,17,178
,17,207
,17,231
,17,260
,17,284
,17,313
,18,3
,18,11
,18,47
,18,64
,18,100
,18,117
,18,153
,18,170
,18,206
,18,223
,18,259
,18,276
,18,312
,19,10
,19,32
,19,33
,19,63
,19,85
,19,86
,19,116
,19,138
,19,139
,19,169
,19,191
,19,192
,19,222
,19,244
,19,245
,19,275
,19,297
,19,298
,20,27
,20,80
,20,133
,20,186
,20,239
,20,292
,21,5
,21,12
,21,22
,21,26
,21,34
,21,44
,21,52
,21,58
,21,65
,21,75
,21,79
,21,87
,21,97
,21,105
,21,111
,21,118
,21,128
,21,132
,21,140
,21,150
,21,158
,21,164
,21,171
,21,181
,21,185
,21,193
,21,203
,21,211
,21,217
,21,224
,21,234
,21,238
,21,246
,21,256
,21,264
,21,270
,21,277
,21,287
,21,291
,21,299
,21,309
,21,317
,22,14
,22,15
,22,67
,22,68
,22,120
,22,121
,22,173
,22,174
,22,226
,22,227
,22,279
,22,280
,23,53
,23,106
,23,159
,23,212
,23,265
,23,318
,4,59
,4,112
,4,165
,4,218
,4,271
