productCategoryRankId,countryCode,productCategoryId,rankingThreshold,rankingThresholdPercentage
,FR,1,3950879,1.00000
,FR,1,1975440,0.50000
,FR,1,1580352,0.40000
,FR,1,1185264,0.30000
,FR,1,790176,0.20000
,FR,1,592632,0.15000
,FR,1,395088,0.10000
,FR,1,197544,0.05000
,FR,1,158035,0.04000
,FR,1,118526,0.03000
,FR,1,79018,0.02000
,FR,1,59263,0.01500
,FR,1,39509,0.01000
,FR,1,19754,0.00500
,FR,1,3951,0.00100
,FR,1,1975,0.00050
,FR,1,395,0.00010
,FR,1,0,0.00000
,FR,2,4231288,1.00000
,FR,2,2115644,0.50000
,FR,2,1692515,0.40000
,FR,2,1269386,0.30000
,FR,2,846258,0.20000
,FR,2,634693,0.15000
,FR,2,423129,0.10000
,FR,2,211564,0.05000
,FR,2,169252,0.04000
,FR,2,126939,0.03000
,FR,2,84626,0.02000
,FR,2,63469,0.01500
,FR,2,42313,0.01000
,FR,2,21156,0.00500
,FR,2,4231,0.00100
,FR,2,2116,0.00050
,FR,2,423,0.00010
,FR,2,0,0.00000
,FR,3,2546187,1.00000
,FR,3,1273094,0.50000
,FR,3,1018475,0.40000
,FR,3,763856,0.30000
,FR,3,509237,0.20000
,FR,3,381928,0.15000
,FR,3,254619,0.10000
,FR,3,127309,0.05000
,FR,3,101847,0.04000
,FR,3,76386,0.03000
,FR,3,50924,0.02000
,FR,3,38193,0.01500
,FR,3,25462,0.01000
,FR,3,12731,0.00500
,FR,3,2546,0.00100
,FR,3,1273,0.00050
,FR,3,255,0.00010
,FR,3,0,0.00000
,FR,4,3979328,1.00000
,FR,4,1989664,0.50000
,FR,4,1591731,0.40000
,FR,4,1193798,0.30000
,FR,4,795866,0.20000
,FR,4,596899,0.15000
,FR,4,397933,0.10000
,FR,4,198966,0.05000
,FR,4,159173,0.04000
,FR,4,119380,0.03000
,FR,4,79587,0.02000
,FR,4,59690,0.01500
,FR,4,39793,0.01000
,FR,4,19897,0.00500
,FR,4,3979,0.00100
,FR,4,1990,0.00050
,FR,4,398,0.00010
,FR,4,0,0.00000
,FR,5,3939856,1.00000
,FR,5,1969928,0.50000
,FR,5,1575942,0.40000
,FR,5,1181957,0.30000
,FR,5,787971,0.20000
,FR,5,590978,0.15000
,FR,5,393986,0.10000
,FR,5,196993,0.05000
,FR,5,157594,0.04000
,FR,5,118196,0.03000
,FR,5,78797,0.02000
,FR,5,59098,0.01500
,FR,5,39399,0.01000
,FR,5,19699,0.00500
,FR,5,3940,0.00100
,FR,5,1970,0.00050
,FR,5,394,0.00010
,FR,5,0,0.00000
