skuId,sku,countryCode,fnsku,skuAcquisitionCostExc,skuAcquisitionCostInc,skuAfnTotalQuantity,skuAverageSellingPriceInc,skuAverageNetMargin,skuAverageNetMarginPercentage,skuAverageReturnOnInvestmentRate,skuAverageDailyReturnOnInvestmentRate,isActive,numberOfActiveDays,numberOfUnitSold,skuAverageUnitSoldPerDay,skuRestockAlertQuantity,skuIsTest
,54-91BV-PNZ6,FR,null,0.00,0.00,0,9.99,2.77,0.27730,null,null,FALSE,null,2,0.01,1,FALSE
,8K-89QT-O64E,FR,null,0.00,0.00,0,7.41,0.31,0.05410,null,null,FALSE,null,1,0.00,1,FALSE
,GC-U8AO-WGK6,FR,null,4.74,5.00,0,15.00,2.06,0.14840,0.43460,0.01614,FALSE,null,15,0.04,1,FALSE
,IB-TEJJ-MW9J,FR,null,0.00,0.00,0,8.70,null,null,null,null,FALSE,null,0,null,1,FALSE
,JD-4DO4-HB8F,FR,null,0.00,0.00,0,8.74,null,null,null,null,FALSE,null,1,0.00,1,FALSE
,MJ-RX44-HGK3,FR,null,2.69,2.84,0,9.95,1.38,0.14750,0.51420,0.00416,FALSE,null,3,0.01,1,FALSE
,MU-EMRT-WHXP,FR,null,0.00,0.00,0,9.00,0.78,0.15690,null,null,FALSE,null,1,0.00,1,FALSE
,PC-PM38-9W51,FR,null,0.00,0.00,0,8.70,1.43,0.23990,null,null,FALSE,null,1,0.00,1,FALSE
,T6-0FQU-S8B5,FR,null,0.00,0.00,0,5.69,0.01,0.00180,null,null,FALSE,null,1,0.00,1,FALSE
,V9-2OXD-BQVF,FR,null,0.00,0.00,0,5.71,0.13,0.02690,null,null,FALSE,null,1,0.00,1,FALSE
,X9-09S3-7DPM,FR,null,4.74,5.00,0,22.50,7.99,0.35510,1.68570,0.03348,FALSE,null,1,0.03,1,FALSE
,03-MOXK-KA0S,FR,null,0.00,0.00,0,6.98,1.95,0.27940,null,null,FALSE,null,1,0.01,1,FALSE
,2V-OCFZ-GWCW,FR,null,4.49,4.74,0,14.90,2.01,0.13490,0.44770,0.01330,FALSE,null,1,0.04,1,FALSE
,4H-5Y5M-207F,FR,null,0.00,0.00,0,20.00,null,null,null,null,FALSE,null,0,null,1,FALSE
,4H-E8IP-74MH,FR,null,0.00,0.00,0,4.79,null,null,null,null,FALSE,null,0,null,1,FALSE
,56-B8J8-TXZL,FR,null,0.00,0.00,0,5.69,0.28,0.04920,null,null,FALSE,null,1,0.01,1,FALSE
,7Y-YFL4-3Q6Y,FR,null,4.74,5.00,0,22.50,8.32,0.36960,1.75450,0.13152,FALSE,null,5,0.12,1,FALSE
,AU-OIT8-XA9N,FR,null,0.00,0.00,0,5.11,0.36,0.07050,null,null,FALSE,null,1,0.01,1,FALSE
,B8-B3SK-B1QR,FR,null,3.59,3.79,0,12.90,0.27,0.02090,0.07520,0.01829,FALSE,null,2,0.25,1,FALSE
,BU-I950-6PER,FR,null,4.74,5.00,0,19.87,7.63,0.43510,1.61070,0.11952,FALSE,null,10,0.12,1,FALSE
,CF-SZ91-4JWZ,FR,null,0.00,0.00,0,4.59,0.46,0.10020,null,null,FALSE,null,1,0.01,1,FALSE
,EY-2VLE-UGQ9,FR,null,0.00,0.00,0,5.69,0.43,0.05730,null,null,FALSE,null,1,0.04,1,FALSE
,FA-YKH2-6UWP,FR,null,4.74,5.00,0,14.90,3.41,0.22890,0.71940,0.04096,FALSE,null,4,0.07,1,FALSE
,FM-6RG2-8KKU,FR,null,0.00,0.00,0,5.69,1.61,0.21470,null,null,FALSE,null,1,0.03,1,FALSE
,IA-QB57-1V2F,FR,null,2.69,2.84,0,9.95,1.79,0.17990,0.66540,0.01558,FALSE,null,3,0.03,1,FALSE
,IX-FKQK-GOHM,FR,null,0.00,0.00,0,20.00,null,null,null,null,FALSE,null,0,null,1,FALSE
,J8-Y8B7-SA6C,FR,null,13.02,13.74,0,30.94,null,null,null,null,FALSE,null,1,0.02,1,FALSE
,JV-1QAV-RFY2,FR,null,4.49,4.74,0,13.95,2.61,0.22460,0.58130,0.00605,FALSE,null,1,0.01,1,FALSE
,L7-9QOI-036O,FR,null,4.74,5.00,0,22.48,9.61,0.42750,2.02740,0.01642,FALSE,null,1,0.01,1,FALSE
