supplierId,productCategoryId,supplierName,supplierWebsite,supplierNumber,supplierEmail,supplierAdress,supplierPostcode,countryCode,supplierNote,contactName,contactPosition,contactNumber,contactEmail,accountOpen,accountRefused,accountRefusedDate,accountRefusedReason,isInteresting,isBrand
,,ABC DISTRIBUTION,http://www.abcosmetique.com/nous-contacter,,,,,,"fabricants et dsitributeur de la marque Provost, Jean Louis David ...",,,,,FALSE,,,,TRUE,
,,ABYSSE CORP,http://www.abyssecorp.com/fr/,,contact@abyssecorp.com,,,,,,,,,FALSE,,,,TRUE,
,,AEGIS PHARMA,https://www.aegis-pharma.com/,,contact@aegis-pharma.com,,,,Maeson Pearson - Proraso -,,,,charlotte@aegis-pharma.com,FALSE,,,,FALSE,
,,ALBACOM,https://albacom.ro/#brands,,office@albacom.ro,,,RO,"Roumain, ils ont beaucoup de marques très connues",,,,,FALSE,,,,TRUE,
,,ALCO DISTRIBUTION,https://alcodistributions.fr/condiciones_compra.asp,,alco@alcodistributions.fr,,,,grossiste en papeterie jouets et cadeaux - pas d'EAN sur leur site,,,,,TRUE,,,,TRUE,
,,ALYSEE BOUTIQUE,https://www.alysee-boutique.com/contact.php,,contact@alysee-boutique.com,,,,,,,,,FALSE,,,,TRUE,
,,ANIS DISCOUNT PRO,https://anidiscountpro.com/contactez-nous,,anisdiscountpro@outlook.com,,,,pas de catalogue Excel. Contacter M.Rotureau si je souhaite une réduction sur quantité. Pas d'EAN sur leur site,M. Rotureau,,,,TRUE,,,,TRUE,
,,AQUAROMAT,,,contact@aquaromat.com,,,,"créateur du peigne anti poux V-comb, ils revendent sur Amazon directement mais ne sont pas les seuls",,,,,FALSE,,,,TRUE,
,,ART DU BARBIER,https://www.artdubarbier.com/content/17-espace-pro,,,,,,,,,,,FALSE,,,,TRUE,
,,ASA TOYS,http://www.asatoys.fr/,,info@asatoys.fr,,,,,,,,,FALSE,,,,TRUE,
,,AUBER DIFFUSION,http://www.auberdiffusion.com/,,,,,,,,,,,FALSE,,,,TRUE,
,,BARLINE,"https://barline.eu/o-firmie,17",,,,,,"Le distributeur officiel de  Disney - Princesses, Voitures, Frozen Frozen, Stacyjkowo, Hello Kittty, Spiderman. Minions et bien d’autres, ainsi que Minoti, Funki Diva, E-Bound et d’autres. Le distributeur officiel du  fabricant belge NEY - Disney, Tweety, Cars, Bell, Pucca, Toy Story et Warner Bross.",,,,,FALSE,,,,TRUE,
,,BAZEEC,https://www.bazeec.com/nous_contacter,,pro@bazeec.com,,,,,,,,,FALSE,,,,TRUE,
,,BEAPHAR,https://www.beaphar.com/fr-fr/boutiques-en-ligne,,info@fr.beaphar.com,,,,,,,,,FALSE,,,,TRUE,
,,BEAUTY COIFFURE,https://www.beautycoiffure.com/content/11-qui-sommes-nous,,serviceclients@beautycoiffure.com,,,,,,,,,FALSE,,,,TRUE,
,,BEEZTEES,https://www.beeztees.com/contact/,,info@beeztees.com,,,NL,boîte néerlandaise,,,,,FALSE,,,,TRUE,
,,BERARD,http://www.berarddistribution.fr/,,,,,,"beaucoup de produits pas cher mais de grandes marque (sel, pates...)",,,,,FALSE,,,,TRUE,
,,BIG BUY,https://www.bigbuy.eu/fr/tiendab2b.html,,,,,,C'est pour faire du dropshipping sur AMZ. Big Buy expédie directement les produits achetés (FBM),,,,,FALSE,,,,FALSE,
,,BIHR,https://www.bihr.eu/fr/fr/prospectsignup,,customercare@bihr.eu,,,,,,,,,FALSE,,,,TRUE,
,,BIMAGO,https://www.bimago.fr/dropshipping,,,,,,Ils travaillent avec des dropshippers- tableaux et décoration,,,,,FALSE,,,,TRUE,
,,BLEU LIBELLULE,https://www.bleulibellule.com/nous-contacter,,,,,,,,,,,FALSE,,,,TRUE,
,,BONBONRAMA,https://www.bonbonrama.com/fr/,,Contact@Bonbonrama.Com,,,,,,,,,FALSE,,,,TRUE,
,,BOTHEKA,https://www.botheka.com/nos-marques,,phfb@aliceadsl.fr,,,,skincode,,,,,FALSE,,,,TRUE,
,,BRAND DISTRIBUTION,https://www.brandsdistribution.com/fr/login?nextURL=%2Ffr%2Fcatalog%2Fmarque%2Fnew-balance%2Fchaussures%2Fsneakers%2FWRL247EM,,,,,,,,,,,FALSE,,,,TRUE,
,,BROAER,https://broaer.fr/,,,,,,compte créé avec dumont,,,,,TRUE,,,,TRUE,
,,BUSY X PRO,https://www.busyx-pro.com/?lang=fr,,,,,,,,,,,FALSE,,,,TRUE,
,,CALIPAGE,https://www.calipage.fr/modules/blockcontactmagasin/contact.php?commande=became,,,,,,,,,,,FALSE,,,,TRUE,
,,CAO OUTDOOR,https://cao-outdoor.com/contacter,,,,,,vendu uniquement par AMZ,,,,,TRUE,,,,TRUE,
,,CAT IT,https://www.catit.fr/aide-conseils/,,press@catit.com,,,,,,,,,FALSE,,,,TRUE,
,,CENTRAL ACHAT EXPORT,http://centraleachatexport.com/,,sniw@sniw.fr,,,,distributeur des produits Belle France,,,,,FALSE,,,,TRUE,
,,CERCLE VERT,https://www.cerclevert.fr/contact/,,,,,,doit être contacté par téléphone,,,,,FALSE,,,,TRUE,
,,CERDA,https://www.cerdagroup.com/fr/contact/,,,,,,"Beaucoup de produits sous licences. Si il m'envoie une liste de code barre, je peux tout vérifier.",,,,,FALSE,,,,TRUE,
,,CHADOG DIFFUSION,https://www.chadog.fr/,,,,,,LOURD,,,,,TRUE,,,,TRUE,
,,CHANNEL DISTRIBUTION,https://www.channeldistribution.nl/fr,,sales@channeldistribution.nl,,,,"ne veut pas envoyer de catalogue, car les dropshippers publie le catalogue complet sur AMZ, et les marques n'apprécie pas. Je dois être prudent sur ce que je dis avec eux. Ils ne sont pas ok pour vendre UNIQUEMENT sur AMZ. Je leur ai parlé des salons.",,,,,TRUE,,,,TRUE,
,,CHEVEUX BEAUTÉ,https://www.cheveuxbeautepro.com/login?ReturnUrl=%2f,,contact@cheveuxbeauté.com,,,,,,,,,FALSE,,,,TRUE,
,,CHIEN CONTEMPORAIM DISTRIBUTION,http://www.chiencontemporaindistribution.com/boutique/sas_securise.cfm?code_lg=lg_fr,,info@chiencontemporaincom,,,,,,,,,FALSE,,,,FALSE,
,,CLAIREFONTAINE,https://www.clairefontaine.com/devenir-revendeur.html,,,,,,,,,,,FALSE,,,,TRUE,
,,CMP PARIS,http://www.cmp-paris.com/univers-produits-1,,commercial@cmp-paris.com,,,,distributeur important,,,,,FALSE,,,,TRUE,
,,COSMIC GROUP,http://www.cosmicgroup.eu/fra/distribution_action_figure_model_kit_bust_statue_gadget.php,,INFO@COSMICGROUP.EU,,,,,Nicolas,,0767907645,,FALSE,TRUE,,Ils vendent en FBA. Aucun pour que je les recontacte si j'utilise d'autre canaux de vente.,TRUE,
,,CPIX,https://cpix.fr/store/,,contact@cpix.fr,,,,fournisseur de pièces détachés pour smartphone,,,,,FALSE,,,,TRUE,
,,CURVER,https://www.curver.com/fra/nous-contacter/,,,,,,,,,,,FALSE,,,,TRUE,
,,DAGIER,https://www.dagier.fr/fr/contact.htm,,confiseriedagier@orange.fr,,,,,,,,,FALSE,,,,TRUE,
,,DEALSTORE,https://dealstore.fr/content/12-professionnel,,DEALSTORE13@GMAIL.COM,,,,,,,,,FALSE,,,,TRUE,
,,DECITRE,https://www.decitrepro.fr/,,,,,,"fournisseur pour bibliothèque et collectivité, pas sûr qu'ils soient ok pour fournir une entreprise pour la revente. Mail reçu le 21/10/2020",,,,,FALSE,,,,TRUE,
,,DELORME,,,,,,,pas de catalogue Excel,,,,,TRUE,,,,TRUE,
,,DESTOCKAGE LIQUIDATION,http://www.destockage-liquidation.com/lots-cosm%C3%A9tique-beaut%C3%A9-bien-%C3%AAtre,,,,,,,,,,,FALSE,,,,TRUE,
,,DINO TOYS,https://www.dinotoys.nl/contact.html,,info@dinotoys.nl,,,,code EAN sur le site. Je dois scrapper,,,,,TRUE,,,,TRUE,
,,DIRECT STORE,https://www.meccanodirect.fr/espace-pro/account/login/,,meccano@direct-store.eu,,,,Revendeur Europe de la marque Meccano,,,,,FALSE,,,,TRUE,
,,DISTRIDOG,https://www.distridog.pro/contactez-nous,,service-client@distridog.com,,,,,,,,,TRUE,,,,TRUE,
,,DISTRISTORE,https://www.distristore.fr/fr/content/6-revendeurs,,,,,,,,,,,FALSE,,,,TRUE,
,,DMS LIMITED,http://www.dmslimited.com.pl/en-wholesale-offer-15.html,,biuro@dmslimited.org,,,,Polonais - grossiste destockage,,,,,FALSE,,,,TRUE,
,,DO DK DISCOUNT,http://www.dodkdiscount.com/,,contact@dodkdiscount.com,,,,,,,,,FALSE,,,,TRUE,
,,DOGCAT,https://www.dogcat.com/professionnel/create_account.php,,,,,,,,,,,TRUE,,,,TRUE,
,,DP NATURE,https://www.dpnature.fr/,,contact@dpnature.fr,,,,Grossiste en Compléments alimentaires et Cosmétiques Bio & Naturels,,,,,TRUE,,,,TRUE,
,,EASYDISTRI,http://www.easydistri.com/piscines-et-jeux-d-eau/2953-cartouches-pour-spa-intex-lot-de-2-cartouches-de-filtration-6941057404424.html,,,,,,,,,,,FALSE,,,,TRUE,
,,EFI,http://www.efidestockage.fr/modules/reseller/retailer.php,,e.f.i.1@bbox.fr,,,,,,,,,FALSE,,,,TRUE,
,,EKO SPORT,https://www.ekosport.fr/-cms-outdoor4pro,,,,,,Réservé uniquement aux professionnels de la distribution d’articles de sports ayant un magasin physique en France,,,,,FALSE,,,,TRUE,
,,EMUCA,https://www.emuca.fr/catalogue/nos-catalogues,,,,,,"fournisseur Dropshipping pour meuble et quincaillerie. Présent sur AMZ, vendu par AMZ",,,,,FALSE,,,,TRUE,
,,ACTION PIN,https://www.action-pin.fr/fr.html,,actionpin@action-pin.fr,,,,,,,,,FALSE,,,,TRUE,
,,EOLYS BEAUTÉ,https://www.eolys-b2b.com/,,contact@eolys-beaute.com,,,,,,,,,FALSE,TRUE,,,TRUE,
,,ESPACE AGRO,https://www.espaceagro.com/agroalimentaire/producteur-grossiste.html,,,,,,,,,,,FALSE,,,,TRUE,
,,ESTHETIQUE MARKET,https://pro.esthetiquemarket.com/403-soin-capillaire,,contact@esthetiquemarket.com,,,,,,,,,FALSE,,,,TRUE,
,,EUGENE PERMA,https://commande.eugeneperma-professionnel.com/fr/,,,,,,Disponible pour les salons de coiffure auprès des représentants EUGENE PERMA Professionnel,,,,,FALSE,,,,TRUE,
,,EXERTIS,https://www.exertis.fr/contact.php,,contact@exertis.fr,,,,distribue plus de 350 marques de nouvelles technologie,,,,,FALSE,,,,TRUE,
,,EXPODIF,https://www.expodif.fr/BoutiqueWeb,,yasmine.makhezer@expodif.fr,,,,,,,,,TRUE,,,,TRUE,
