vatRatePerCountryId,countryCode,vatCategoryId,vatRate
,AT,S,0.20000
,AT,R,0.13000
,AT,R2,0.10000
,AT,SR,0.05000
,AT,Z,0.00000
,BE,S,0.21000
,BE,R,0.06000
,BE,R2,null
,BE,SR,null
,BE,Z,null
,BG,S,0.20000
,BG,R,0.09000
,BG,R2,null
,BG,SR,null
,BG,Z,null
,HR,S,0.25000
,HR,R,0.13000
,HR,R2,0.05000
,HR,SR,null
,HR,Z,null
,CY,S,0.19000
,CY,R,0.05000
,CY,R2,null
,CY,SR,null
,CY,Z,null
,CZ,S,0.21000
,CZ,R,0.15000
,CZ,R2,0.10000
,CZ,SR,null
,CZ,Z,null
,DK,S,0.25000
,DK,R,null
,DK,R2,null
,DK,SR,null
,DK,Z,null
,EE,S,0.20000
,EE,R,0.09000
,EE,R2,null
,EE,SR,null
,EE,Z,null
,FI,S,0.24000
,FI,R,0.14000
,FI,R2,0.10000
,FI,SR,null
,FI,Z,null
,FR,S,0.20000
,FR,R,0.10000
,FR,R2,0.05500
,FR,SR,0.02100
,FR,Z,null
,DE,S,0.19000
,DE,R,0.07000
,DE,R2,null
,DE,SR,null
,DE,Z,null
,GR,S,0.24000
,GR,R,0.13000
,GR,R2,0.06000
,GR,SR,null
,GR,Z,null
,HU,S,0.27000
,HU,R,0.18000
,HU,R2,0.05000
,HU,SR,null
,HU,Z,null
,IE,S,0.23000
,IE,R,0.13500
,IE,R2,0.09000
,IE,SR,null
,IE,Z,0.00000
,IT,S,0.22000
,IT,R,0.10000
,IT,R2,0.05000
,IT,SR,0.04000
,IT,Z,0.00000
,LV,S,0.21000
,LV,R,0.12000
,LV,R2,0.05000
,LV,SR,null
,LV,Z,null
,LT,S,0.21000
,LT,R,0.09000
,LT,R2,0.05000
,LT,SR,null
,LT,Z,null
,LU,S,0.17000
,LU,R,0.08000
,LU,R2,null
,LU,SR,0.03000
,LU,Z,null
,MT,S,0.18000
,MT,R,0.05000
,MT,R2,null
,MT,SR,null
,MT,Z,0.00000
,NL,S,0.21000
,NL,R,0.09000
,NL,R2,null
,NL,SR,null
,NL,Z,0.00000
,PL,S,0.23000
,PL,R,0.08000
,PL,R2,0.05000
,PL,SR,null
,PL,Z,null
,PT,S,0.23000
,PT,R,0.13000
,PT,R2,0.06000
,PT,SR,null
,PT,Z,null
,RO,S,0.19000
,RO,R,0.09000
,RO,R2,0.05000
,RO,SR,null
,RO,Z,null
,SK,S,0.20000
,SK,R,0.10000
,SK,R2,null
,SK,SR,null
,SK,Z,null
,SI,S,0.22000
,SI,R,0.09500
,SI,R2,0.05000
,SI,SR,null
,SI,Z,null
,ES,S,0.21000
,ES,R,0.10000
,ES,R2,null
,ES,SR,0.04000
,ES,Z,null
,SE,S,0.25000
,SE,R,0.12000
,SE,R2,0.06000
,SE,SR,null
,SE,Z,null
,CH,S,0.07700
,CH,R,0.03700
,CH,R2,0.02500
,CH,SR,null
,CH,Z,null
,UK,S,0.20000
,UK,R,0.05000
,UK,R2,null
,UK,SR,null
,UK,Z,0.00000
