warehouseStockId,warehouseId,eanInSupplierOrderId,ean,warehouseTotalReceivedQuantity,warehouseTotalShippedQuantity,warehouseInStockQuantity
,2,,5022496101349,284,214,70
,2,,0802535159129,12,12,0
,2,,0034285696153,194,194,0
,2,,0010181066207,68,40,28
,2,,0010181080005,6,6,0
,2,,0010181140082,552,552,0
,2,,0038276005917,108,108,0
,2,,5022496001298,6,6,0
,2,,5012583206682,846,796,50
,2,,0632169110186,336,288,48
,2,,0632169110988,156,72,84
,2,,0748378001594,4179,2673,1506
,2,,0748378004694,78,78,0
,2,,0817513015441,331,225,106
,2,,8681701004331,62,54,8
,2,,3182550781022,15480,12465,3015
,2,,0817513015700,231,201,30
,2,,3760078080454,212,180,32
,2,,3600550454147,204,104,100
,2,,4005900551733,192,144,48
,2,,4005900555717,72,72,0
,2,,4005900547521,144,108,36
,2,,4005900555632,66,66,0
,2,,0661157104104,90,90,0
,2,,0817513015427,132,132,0
,2,,0817513015328,96,96,0
,2,,5035832020440,140,72,68
,2,,0748378003130,24,24,0
,2,,0714924290606,36,36,0
,2,,0796708330555,78,66,12
,2,,8410436208611,264,140,124
,2,,0884486004260,54,54,0
,2,,8681701004324,12,12,0
,2,,0764302215844,36,36,0
,2,,0075285002766,12,12,0
,2,,8717931604963,36,36,0
,2,,8717931602396,8,8,0
,2,,8717931603225,5,5,0
,2,,0038276990220,20,20,0
,2,,0038276009021,6,6,0
,2,,4058900008004,200,200,0
,2,,8697926007255,36,36,0
,2,,5000108478119,24,24,0
,2,,3045621624713,20,20,0
,2,,3045621624690,32,32,0
,2,,3045621624553,6,6,0
,2,,0010181041587,12,12,0
,2,,3760096840122,6,6,0
,2,,0098864008447,6,6,0
,2,,3760096842348,25,25,0
,2,,0072790000164,27,27,0
,2,,0075724130081,6,6,0
,2,,3574660026917,270,270,0
,2,,3574660420951,12,12,0
,2,,3440578880210,15,15,0
,2,,0748378001136,10,10,0
,2,,6006174003971,6,6,0
,2,,5022496001274,32,32,0
,2,,0874211002685,50,50,0
,2,,0817513010064,10,10,0
,2,,0802535154124,15,15,0
,2,,3327520004002,10,10,0
,2,,0074867786803,10,10,0
,2,,0010181041532,6,6,0
,2,,3770007908391,36,36,0
,2,,0794437523309,60,60,0
,2,,5420031900707,9,9,0
,2,,5024003702209,6,3,3
,2,,0040102250002,6,6,0
,2,,0342644164442,3,3,0
,2,,0034264408807,18,18,0
,2,,0886284143202,14,14,0
,2,,0886284110204,43,26,17
,2,,0018214778141,6,3,3
,2,,3575070022087,6,3,3
,2,,0029695003004,26,13,13
,2,,0759023080734,6,3,3
,2,,9330725005969,18,15,3
,2,,5420031906143,6,6,0
,2,,0693804806000,6,6,0
,2,,0040102640711,3,3,0
,2,,0342644165432,3,3,0
,2,,0342644164824,4,2,2
,2,,0748378004342,24,12,12
,2,,0748378004229,54,27,27
,2,,0748378001013,30,15,15
,2,,0748378003154,30,15,15
,2,,0748378001112,300,150,150
,2,,0748378001105,180,135,45
,2,,5035832008134,120,120,0
,2,,5050175998928,116,40,76
,2,,5035832008127,18,16,2
,2,,5035832007977,80,80,0
,2,,5035832008233,72,36,36
,2,,5035832007670,20,20,0
,2,,5035832008189,16,16,0
,2,,5035832008011,40,32,8
,2,,5035832008080,40,32,8
,2,,0632169111077,108,108,0
,2,,3600550245868,48,48,0
,2,,3323037218635,468,132,336
,2,,0040102642401,1,1,0
,2,,3700380350234,2,2,0
,2,,3441710170183,3,3,0
,2,,3760064711102,1,1,0
,2,,3469980014174,1,1,0
,2,,3553330100614,2,2,0
,2,,4047059415320,7,7,0
,2,,3700380368734,2,2,0
,2,,3380350153128,7,7,0
,2,,3380350136008,8,8,0
,2,,9330725010048,3,3,0
,2,,9330725006102,1,1,0
,2,,9330725003712,1,1,0
,2,,9330725078536,2,2,0
,2,,4000498023228,35,35,0
,2,,3336025720324,2,2,0
,2,,3700380342406,1,1,0
,2,,0886284237901,12,12,0
,2,,0029695004001,26,13,13
,2,,5708214988538,2,2,0
,2,,4011905313276,244,243,1
,2,,0729849129450,5,5,0
,2,,5400274923053,2,2,0
,2,,5410340217009,2,2,0
,2,,3553330100485,4,4,0
,1,,9782501112291,,,1
,1,,9782810424504,,,1
,1,,9782365492218,,,1
,1,,9782810420445,,,1
,1,,9782702914571,,,1
,1,,9782263157073,,,1
,1,,9782813217868,,,9
,1,,9782813209283,,,15
,1,,9782361883010,,,1
,1,,9782747096423,,,1
,1,,9782813217424,,,3
,1,,9782889357284,,,1
,1,,9782738133823,,,1
,1,,0886284110204,,,1
,1,,0886284616201,,,1
,1,,9782841389711,,,1
,1,,0886284151207,,,1
,1,,9782849335468,,,1
,1,,9782361882976,,,1
,1,,0817513015441,,,32
,1,,5420031900707,,,1
,1,,0874211002685,,,43
,1,,0817513010064,,,28
,1,,3574661461625,,,22
,1,,3600550937435,,,36
,1,,3059940049225,,,152
