seller-sku	fulfillment-channel-sku	asin	condition-type	country	quantity-for-local-fulfillment
BOOK-04.23-2,29-2747096424	X001RDQ94X	2747096424	NewItem	FR	1
BOOK-04.23-3,42-2378011040	X001RDQCM7	2378011040	NewItem	FR	1
BOOK-04.23-10-2732482544	X001RDQ8LR	2732482544	NewItem	FR	8
BOOK-04.23-3,09-2813217433	X001RDSAY5	2813217433	NewItem	FR	3
BOOK-04.23-3,16-2754075607	X001RFFL77	2754075607	NewItem	FR	6
BOOK-04.23-3,08-2408019230	X001RF3E8F	2408019230	NewItem	FR	3
BOOK-04.23-3,09-274599218X	X001RE62FX	274599218X	NewItem	FR	1
BOOK-04.23-3,7-B06Y3XV4JW	X001RDXJUP	B06Y3XV4JW	NewItem	FR	6
BOOK-04.23-3,42-B07DXPQKKQ	X001RDQ8J9	B07DXPQKKQ	NewItem	DE	1
CHAD-05.23-3,51-B004V2PH92	X001SOR88R	B004V2PH92	NewItem	IT	49
BOOK-04.23-6,93-2732471291	X001RDXJVT	2732471291	NewItem	FR	2
BOOK-04.23-5,84-2843194261	X001RE31K7	2843194261	NewItem	FR	2
CHAD-05.23-15,82-B07GBL43QF	X001SORDT1	B07GBL43QF	NewItem	FR	2
BOOK-04.23-5,42-2813219797	X001RDQ78V	2813219797	NewItem	FR	3
CHAD-05.23-6,48-B005BOMK4Y	X001SOV149	B005BOMK4Y	NewItem	FR	5
BOOK-04.23-3,92-2749916534	X001RDXIJR	2749916534	NewItem	FR	1
CHAD-05.23-4,14-B0088VPCXI	X001SORDWN	B0088VPCXI	NewItem	FR	3
BOOK-04.23-5,27-2757603450	X001RE5QPP	2757603450	NewItem	FR	4
CHAD-03.23-3,12-B0088KHVEC	X001QM4R6R	B0088KHVEC	NewItem	FR	7
BOOK-04.23-5,13-2702913504	X001RE2V4J	2702913504	NewItem	FR	6
CHAD-05.23-3,51-B004V2PH92	X001SOR88R	B004V2PH92	NewItem	FR	44
BOOK-04.23-4,92-2213705623	X001RE2SC9	2213705623	NewItem	FR	6
BOOK-04.23-4,67-2702914942	X001RE2AAJ	2702914942	NewItem	FR	15
BOOK-04.23-4,62-284319413X	X001RDQ9MZ	284319413X	NewItem	FR	1
BOOK-04.23-5-2813217867	X001RE2D8X	2813217867	NewItem	FR	3
