request-date	order-id	shipment-date	sku	fnsku	disposition	shipped-quantity	carrier	tracking-number	removal-order-type
2024-03-16T22:17:54+05:30	YRQ4ZJ7gwi	2024-03-19T02:46:35+05:30	CHAD-03.23-8,16-B0002ASNAM	X001QM3GLJ	Sellable	2	AMZN	FR2399694473	Return
2024-03-16T22:17:54+05:30	YRQ4ZJ7gwi	2024-03-19T02:46:35+05:30	NOIS-04.23-4,08-B005N75PPK	X001RANPB1	Sellable	3	AMZN	FR2399694473	Return
2024-03-16T22:17:54+05:30	YRQ4ZJ7gwi	2024-03-19T02:46:35+05:30	BOOK-04.23-3,92-2749916534	X001RDXIJR	Sellable	1	AMZN	FR2399694473	Return
2024-03-16T22:17:54+05:30	YRQ4ZJ7gwi	2024-03-19T02:46:35+05:30	NOIS-04.23-26,59-B000CR1FHI	X001RAJE6L	Sellable	2	AMZN	FR2399694473	Return
2024-03-02T05:32:27+05:30	syXsmX6Yly	2024-03-08T22:39:45+05:30	CHAD-05.23-9,37-B01LYAPC7Z	X001SOUDP7	Unsellable	1	LP	6G60350507024	Return
2024-03-02T05:32:27+05:30	syXsmX6Yly	2024-03-06T02:44:59+05:30	EXPO-11.21-6,33-2263162445	X001GXLJXP	Unsellable	1	LP	8G48935010244	Return
2024-02-17T01:56:09+05:30	5t5Rs1rZ7q	2024-02-18T03:42:13+05:30	LBM-05.22-4,14-B01N9LDX7D	X001KK4125	Sellable	1	LP	6G60333079777	Return
2024-02-02T04:44:08+05:30	P9Eyoteq37	2024-02-03T10:13:09+05:30	LBM-05.22-5,14-B01LTIAU7Y	X001KIKGCL	Unsellable	1	LP	6G60315094750	Return
2024-01-18T07:20:27+05:30	iBCyWm/4kp	2024-01-20T17:27:10+05:30	LBM-05.22-4,14-B01N9LDX7D	X001KK4125	Sellable	8	LP	8G48915885039	Return
2024-01-18T07:20:27+05:30	iBCyWm/4kp	2024-01-20T17:27:10+05:30	LBM-11.22-5,13-B000VXG3XY	X001OBKL6F	Sellable	3	LP	8G48915885039	Return
2024-01-18T07:20:27+05:30	iBCyWm/4kp	2024-01-20T17:27:10+05:30	EXOT-08.22-3,75-B003E7UNE4	X001MFGU4Z	Sellable	1	LP	8G48915885039	Return
2024-01-18T07:20:27+05:30	iBCyWm/4kp	2024-01-22T05:25:25+05:30	EXOT-08.22-3,75-B003E7UNE4	X001MFGU4Z	Sellable	5	LP	8G48915936403	Return
2024-01-02T04:46:31+05:30	3k69V4g+vP	2024-01-24T00:33:53+05:30	BOOK-04.23-4,67-2702914942	X001RE2AAJ	Unsellable	1	AMZN	FR2360982331	Return
2024-01-02T04:46:31+05:30	3k69V4g+vP	2024-01-24T00:33:53+05:30	CHAD-05.23-9,37-B01LYAPC7Z	X001SOUDP7	Unsellable	1	AMZN	FR2360982331	Return
2024-01-02T04:46:31+05:30	3k69V4g+vP	2024-01-09T21:04:41+05:30	LBM-05.22-5,14-B01LTIAU7Y	X001KIKGCL	Unsellable	1	LP	8G48911399424	Return
2024-01-02T04:46:31+05:30	3k69V4g+vP	2024-02-23T13:29:39+05:30	CHAD-03.23-65,6-B003E77OEG	X001QM3GKP	Unsellable	1	LP_CHRONOPOST_PARCEL_DOM	GX771456367JB	Return
