sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	afn-fulfillable-quantity-local	afn-fulfillable-quantity-remote
BOOK-04.23-10-2732482544	X001RDQ8LR	2732482544	Photographie Un demi-siècle dans l'Himalaya	New	40.00	No		Yes	0	0	0	0	0	2643.07	0	0	0	0	0	0	0	0
BOOK-04.23-2,29-2747096424	X001RDQ94X	2747096424	Un livre	New	9.92	No		Yes	0	0	0	0	0	270.06	0	0	0	0	0	0	0	0
BOOK-04.23-3,09-274599218X	X001RE62FX	274599218X	Skate	New	11.56	No		Yes	0	0	0	0	0	808.54	0	0	0	0	0	0	0	0
BOOK-04.23-3,16-2754075607	X001RFFL77	2754075607	La Grossesse pour les Nuls en BD	New	12.24	No		Yes	0	0	0	0	0	722.34	0	0	0	0	0	0	0	0
BOOK-04.23-3,42-2378011040	X001RDQCM7	2378011040	Bonjour chez vous, Monsieur Caca ! Le livre le plus bête du monde	New	11.97	No		Yes	0	0	0	0	0	577.97	0	0	0	0	0	0	0	0
BOOK-04.23-3,7-B06Y3XV4JW	X001RDXJUP	B06Y3XV4JW	Je rayonne jour après jour: Un programme de coaching inédit pour transformer votre vie	New	14.90	No		Yes	0	0	0	0	0	1231.65	0	0	0	0	0	0	0	0
BOOK-04.23-3,92-2749916534	X001RDXIJR	2749916534	Le Journal d'Aurélie Laflamme - tome 7 Plein de secrets (7)	New	14.20	No		Yes	0	0	0	0	0	991.91	0	0	0	0	0	0	0	0
BOOK-04.23-4,13-2849334545	X001RDXLML	2849334545	Coupe du Monde - 1930-2018	New	19.90	No		Yes	0	0	0	0	0	1367.99	0	0	0	0	0	0	0	0
BOOK-04.23-4,33-224685587X	X001RE2XN3	224685587X	La disparition de Josef Mengele - Prix Renaudot 2017	New	18.00	No		Yes	0	0	0	0	0	565.68	0	0	0	0	0	0	0	0
BOOK-04.23-4,5-2813209287	X001RE2ULX	2813209287	Le guide des vrais compléments alimentaires - Naturels et efficaces - Toutes les maladies de A à Z	New	18.00	No		Yes	0	0	0	0	0	844.75	0	0	0	0	0	0	0	0
BOOK-04.23-4,67-2702914942	X001RE2AAJ	2702914942	Seconde chance	New	18.89	No		Yes	0	0	0	0	0	738.56	0	0	0	0	0	0	0	0
BOOK-04.23-4,92-2213705623	X001RE2SC9	2213705623	Jean-Luc Delarue: La star qui ne s'aimait pas	New	14.80	No		Yes	0	0	0	0	0	745.61	0	0	0	0	0	0	0	0
